FACILITY_ID,FACILITY_NAME,DUTY,OPERATOR,HOST_TYPE,CURRENT_STATUS,STATUS_SINCE_YEAR,WATER_DEPTH_M,WATER_DEPTH_FT,COUNTRY,LOCATION,US_GOM_FLAG
720,Aasta Hansteen Spar,Gas,Statoil,SPAR,Under Construction,2012,1300,4290,Norway,"PL 218 - 6706/12, 6707/10",
874,Abadi FLNG,Gas,Inpex,FLNG,Prospect,2010,1000,3300,Indonesia,Masela Block,
760,Abo FPSO,Oil,Agip,FPSO,Producing,2003,550,1815,Nigeria,OPL 316,
1275,Abu Qir Complex,n/a,Abu Qir Petroleum,Fixed Platform,Producing,1993,35,116,Egypt,Abu Qir Concession,
249,Agbami FPSO,Oil/Gas,Chevron,FPSO,Producing,2008,1462,4825,Nigeria,OML 127 and 128,
708,Aje FPSO,Oil,YFP,FPSO,Prospect,2014,900,2970,Niger,OML 113,
560,Akcakoca Platform,Gas,TPAO,Fixed Platform,Producing,2007,95,314,Turkey,,
668,Akepo FSO,Oil/Gas,Sogenal Ltd.,FSO/FSU,Under Construction,2010,8,26,Nigeria,OML 90,
252,Akpo FPSO,Gas,Total,FPSO,Producing,2009,1325,4373,Nigeria,OML 130,
1276,Al Jalilah Complex,Oil,Dubai Petroleum (NOC),Fixed Platform,Under Construction,2011,,,UAE,,
1498,Al Jurf Platform,Oil,Mabruk,Fixed Platform,Producing,2003,90,297,Libya,Block C 137,
452,Al Shaheen FSO 1,Oil,Maersk Oil,FSO/FSU,Producing,1996,70,231,Qatar,Block 5,
452,Al Shaheen FSO 2,Oil,Maersk Oil,FSO/FSU,Producing,2005,70,231,Qatar,Block 5,
452,Al Shaheen FSO 3,Oil,Maersk Oil,FSO/FSU,Producing,2005,70,231,Qatar,Block 5,
452,Al Shaheen Location 1,Oil,Maersk Oil,Fixed Platform,Producing,1996,70,231,Qatar,Block 5,
452,Al Shaheen Location 2,Oil,Maersk Oil,Fixed Platform,Producing,1998,70,231,Qatar,Block 5,
452,Al Shaheen Location 3,Oil,Maersk Oil,Fixed Platform,Producing,1998,70,231,Qatar,Block 5,
