og_field_name,block,bsee_block_code,match_type,matched,host_concept,operator
Aconcagua,Mississippi Canyon 305,MC305,block,1,subsea_tieback,ATP
Aegean,Keathley Canyon 163,KC163,none,0,,
Allegheny,Green Canyon 254,GC254,block,1,tlp,ENI (NOC)
Allegheny South,Green Canyon 298,GC298,none,0,tlp,ENI (NOC)
Amberjack,"Mississippi Canyon 108, 109, 110",MC108,none,0,fixed_jacket,Stone Energy
Amethyst,MC26,MC26,block,1,,
Andrew,Keathley Canyon 119,KC119,none,0,,
Anduin,Mississippi Canyon 755,MC755,block,1,semisub_fps,ATP
Anduin West,Mississippi Canyon 754,MC754,none,0,semisub_fps,ATP
Angel Fire,"Green Canyon 370, 371, 327",GC370,none,0,,
Angelica,East Cameron 115,EC115,block,1,,
Angostura,Green Canyon 304,GC304,none,0,,
Angus,"Green Canyon 112, 113",GC112,block,1,subsea_tieback,Marathon
Antietam,DeSoto Canyon 268,DC268,none,0,,
Appaloosa,"Mississippi Canyon 459, 460 and Partial 503, 504",MC459,none,0,subsea_tieback,ENI (NOC)
Appomattox,"Mississippi Canyon 391, 392",MC391,none,0,,
Ardennes,Green Canyon 896,GC896,none,0,,
Ariel,Mississippi Canyon 429,MC429,block,1,semisub_fps,BP
Armstrong,Mississippi Canyon 162,MC162,block,1,,
Arnold,Ewing Bank 963,EW963,block,1,subsea_tieback,Marathon
Aspen,Green Canyon 243,GC243,block,1,subsea_tieback,Marathon
Atlantis,"Green Canyon 699, 742, 743",GC699,none,0,semisub_fps,BP
Atlantis North,Green Canyon 743,GC743,block,1,semisub_fps,BP
Atlas NW,Lloyd Ridge 5,LL5,block,1,semisub_fps,Anadarko
Auger,"Garden Banks 426, 427, 470, 471",GB426,block,1,tlp,Shell
Baccarat,Green Canyon 178,GC178,block,1,,
Backslice,Garden Banks 248,GB248,none,0,,
Balboa,East Breaks 597,EB597,block,1,spar,Anadarko
Baldpate,"Garden Banks 259, 260",GB259,none,0,compliant_tower,Hess Corp.
Baracuda,High Island 171,HI171,none,0,,
Barataria,Main Pass Block 28,MP28,none,0,,
Barbosa,Ship Shoal 185,SS185,none,0,,
Bass Lite,"Atwater Valley 380, 381, 425, 426",AT380,none,0,spar,ENI (NOC)
Beta,"POCS 300, 301, 306",,unparsed,0,fixed_jacket,Pacific Energy Resources Ltd
Big Bend (Noble),Mississippi Canyon 698,MC698,block,1,,
Big Bend (Petrobras),Mississippi Canyon 697,MC697,none,0,,
Big Foot,Walker Ridge 29,WR29,block,1,tlp,Chevron
Bimini,Garden Banks 213,GB213,none,0,,
Bioko,Keathley Canyon 698,KC698,none,0,,
Black Pearl,Green Canyon 423,GC423,none,0,,
Blackbeard East,South Timbalier 144,ST144,none,0,,
Blackbeard West,Ship Shoal Block 188,SS188,none,0,,
Blacktail,"Garden Banks 77, 78, 121, 122",GB77,none,0,,
Blind Faith,"Mississippi Canyon 695, 696",MC695,none,0,semisub_fps,Chevron
Blueberry Hill,Louisiana State 340,,unparsed,0,,
Bluto,Mississippi 431,,unparsed,0,semisub_fps,LLOG
Bolt,"Walker Ridge 452, 453",WR452,none,0,,
Bonanza,"Keathley Canyon 626, 627",KC626,none,0,,
Bonito,"High Island A5, A6",,unparsed,0,,
