COUNTRY,LATITUDE,LONGITUDE
Afghanistan,34.46666667,69.18333333
Albania,41.3,19.81666667
Algeria,36.7,3.133333333
American Samoa,-14.26666667,-170.7166667
Andorra,42.51666667,1.533333333
Angola,-8.833333333,13.25
Antigua and Barbuda,17.33333333,-61.8
Argentina,-36.5,-60
Armenia,40.16666667,44.51666667
Aruba,12.53333333,-70.03333333
Australia,-35.25,149.1333333
Austria,48.2,16.36666667
Azerbaijan,40.48333333,49.93333333
Bahamas,25.08333333,
Bahrain,26.16666667,-77.33333333
Bangladesh,23.71666667,90.43333333
Barbados,13.08333333,-59.5
Belarus,53.86666667,27.5
Belgium,50.85,4.35
Belize,17.3,-88.5
Benin,6.383333333,2.7
Bhutan,27.51666667,89.75
Bolivia,-16.33333333,-68.16666667
Bosnia and Herzegovina,43.86666667,18.43333333
Botswana,-24.75,25.95
Brazil,-15.78333333,-47.91666667
British Virgin Islands,18.45,-64.61666667
Brunei Darussalam,4.866666667,115
Bulgaria,42.75,23.33333333
Burkina Faso,12.25,-1.5
Burundi,-3.266666667,29.3
Cambodia,11.55,104.9166667
Cameroon,3.833333333,11.58333333
Canada,45.45,-75.7
Cape Verde,15.03333333,-23.56666667
Cayman Islands,19.33333333,-81.4
Central African Republic,4.383333333,18.58333333
Chad,12.16666667,14.98333333
Chile,-33.4,-70.66666667
China,39.91666667,116.3333333
Colombia,4.566666667,-74
Comros,-11.66666667,43.26666667
Congo,-4.15,15.2
Costa Rica,9.916666667,-84.03333333
Cote d'Ivoire,6.816666667,-5.283333333
Croatia,45.83333333,15.96666667
Cuba,23.13333333,-82.36666667
Cyprus,35.16666667,33.41666667
Czech Republic,50.08333333,14.36666667
Democratic Republic of the Congo,-4.333333333,15.25
Denmark,55.68333333,12.56666667
Djibouti,11.13333333,42.33333333
Dominica,15.33333333,-61.4
Dominica Republic,18.5,-69.98333333
East Timor,-8.483333333,125.5666667
Ecuador,-0.25,-78.58333333
Egypt,30.01666667,31.23333333
El Salvador,13.66666667,-89.16666667
Equatorial Guinea,3.75,8.833333333
Eritrea,15.31666667,38.91666667
Estonia,59.36666667,24.8
Ethiopia,9.033333333,38.7
Falkland Islands (Malvinas),-51.66666667,-59.85
Faroe Islands,62.08333333,-6.933333333
Fiji,-18.1,178.5
Finland,60.25,25.05
France,48.83333333,2.333333333
French Guiana,5.083333333,-52.3
French Polynesia,-17.53333333,-149.5666667
Gabon,0.416666667,9.433333333
Gambia,13.46666667,-16.66666667
Georgia,41.71666667,44.83333333
Germany,52.5,13.41666667
Ghana,5.583333333,-0.1
Greece,37.96666667,23.76666667
Greenland,64.16666667,-51.58333333
Guadeloupe,16,-61.73333333
Guatemala,14.66666667,-90.36666667
Guernsey,49.43333333,-2.55
Guinea,9.483333333,-13.81666667
Guinea - Bissau,11.75,-15.75
Guyana,6.833333333,-58.2
Haiti,18.66666667,-72.33333333
Heard Island and McDonald Islands,-53,74
Honduras,14.08333333,-87.23333333
Hungary,47.48333333,19.08333333
Iceland,64.16666667,-21.95
India,28.61666667,77.21666667
Indonesia,- 6.15,106.8166667
Iran,35.73333333,51.5
Iraq,33.33333333,44.5
Ireland,53.35,-6.25
Israel,31.78333333,35.2
Italy,41.9,12.48333333
Jamaica,18,-76.83333333
Jordan,31.95,35.86666667
Kazakhstan,51.16666667,71.5
Kenya,-1.283333333,36.8
Kiribati,1.5,173
Kuwait,29.5,48
Kyrgyzstan,42.9,74.76666667
Lao Peoples Democratic Republic,17.96666667,102.6
Latvia,56.88333333,24.13333333
Lebanon,33.88333333,35.51666667
Lesotho,-29.3,27.5
Liberia,6.3,-10.78333333
Libyan Arab Jamahiriya,32.81666667,13.11666667
Liechtenstein,47.13333333,9.516666667
Lithuania,54.63333333,25.31666667
Luxembourg,49.61666667,6.15
Macao,22.2,113.55
Madagascar,-18.91666667,47.51666667
Malawi,-14,33.8
Malaysia,3.15,101.6833333
Maldives,4,73.46666667
Mali,12.56666667,-7.916666667
Malta,35.9,14.51666667
Martinique,14.6,-61.03333333
Mauritania,-20.16666667,57.5
Mayotte,-12.8,45.23333333
Mexico,19.33333333,-99.16666667
Micronesia,6.916666667,158.15
Moldova,47.03333333,28.83333333
Mozambique,-25.96666667,32.53333333
Myanmar,16.75,96.33333333
Namibia,-22.58333333,17.06666667
Nepal,27.75,85.33333333
Netherlands,52.38333333,4.9
Netherlands Antilles,12.08333333,-69
New Caledonia,-22.28333333,166.5
New Zealand,-41.31666667,174.7666667
Nicaragua,12.1,-86.33333333
Niger,13.45,2.1
Nigeria,9.083333333,7.533333333
Norfolk Island,-45.33333333,168.7166667
Northern Mariana Islands,15.2,145.75
Norway,59.91666667,10.75
Oman,23.61666667,58.6
Pakistan,33.66666667,73.16666667
Palau,7.333333333,134.4666667
Panama,9,-79.41666667
Papua New Guinea,-9.4,147.1333333
Paraguay,-25.16666667,-57.5
Peru,-12,-77
Philippines,14.66666667,121.05
Poland,52.21666667,21
Portugal,38.7,-9.166666667
Puerto Rico,18.46666667,-66.11666667
Qatar,25.25,51.58333333
Republic of Korea,37.51666667,126.9666667
Romania,44.45,26.16666667
Russian Federation,55.75,37.58333333
Rawanda,-1.983333333,30.06666667
Saint Kitts and Nevis,17.28333333,-62.71666667
Saint Lucia,14.03333333,-60.96666667
Saint Pierre and Miquelon,46.76666667,-56.2
Saint vincent and the Grenadines,13.16666667,-61.16666667
Samoa,-13.83333333,-171.8333333
San Marino,43.91666667,12.5
Sao Tome and Principe,0.166666667,6.65
