DISCOVERY_NAME,BLOCK,COUNTRY,BASIN,OPERATOR,PARTNERS,DISCOVERY_YEAR,WATER_DEPTH_M,RESOURCE_ESTIMATE,RESOURCE_BASIS,STATUS,CONFIDENCE_TIER,DATA_SOURCE_URL,NOTES
Liza,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2015,1743,Liza field >1 Bboe (range ~0.8-1.4 Bboe),recoverable,producing,high,https://www.nsenergybusiness.com/news/newsexxonmobil-discovers-significant-oil-in-liza-1-well-offshore-guyana-210515-4582361/,"First Stabroek discovery; produced via Liza Destiny (2019) + Liza Unity (2022) FPSOs. Stabroek block aggregate ~11 Bboe (ExxonMobil, Apr 2022)."
Liza Deep,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2017,,~100-150 MMboe (deeper interval),recoverable,producing,high,https://corporate.exxonmobil.com/news/news-releases/2017/0112_exxonmobil-announces-new-oil-discoveries-offshore-guyana,Liza-3; water depth not disclosed.
Payara,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2017,2030,,not_disclosed,producing,high,https://corporate.exxonmobil.com/news/news-releases/2017/0112_exxonmobil-announces-new-oil-discoveries-offshore-guyana,"Produced via Prosperity FPSO (first oil Nov 2023, ~220k bopd)."
Snoek,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2017,1563,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2017/0330_exxonmobil-announces-new-oil-discovery-offshore-guyana,Southern Liza area.
Turbot,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2017,1802,Turbot+Longtail combined >500 MMboe,recoverable,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2017/1005_exxonmobil-announces-fifth-discovery-offshore-guyana,Combined Turbot+Longtail figure is the only disclosed area volume.
Ranger,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2018,2735,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2018/0105_exxonmobil-announces-sixth-oil-discovery-offshore-guyana,Opened a new carbonate play; deepest Stabroek water depth catalogued here.
Pacora,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2018,2067,,not_disclosed,sanctioned,high,https://corporate.exxonmobil.com/news/newsroom/news-releases/2018/0228_exxonmobil-announces-seventh-oil-discovery-offshore-guyana,Co-developed within the Payara project.
Longtail,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2018,1940,Turbot+Longtail combined >500 MMboe,recoverable,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2018/0620_exxonmobil-announces-eighth-discovery-offshore-guyana,Yellowtail/Whiptail area.
Hammerhead,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2018,1150,,not_disclosed,sanctioned,high,https://corporate.exxonmobil.com/news/news-releases/2025/0922_exxonmobil-guyana-expands-capacity-with-seventh-offshore-development,"7th Stabroek project, sanctioned Sep 2025 (~150k bopd, first oil ~2029)."
Pluma,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2018,1018,,not_disclosed,discovery,high,https://dpi.gov.gy/exxonmobil-makes-10th-oil-discovery-offshore-guyana/,10th Stabroek discovery.
Tilapia,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2019,1783,,not_disclosed,appraisal,high,https://corporate.exxonmobil.com/news/news-releases/2019/0206_exxonmobil-announces-two-new-discoveries-offshore-guyana,
Haimara,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2019,1399,,not_disclosed,appraisal,high,https://corporate.exxonmobil.com/news/news-releases/2019/0206_exxonmobil-announces-two-new-discoveries-offshore-guyana,Gas-condensate discovery.
Yellowtail,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2019,1843,,not_disclosed,producing,high,https://corporate.exxonmobil.com/news/news-releases/2019/0418_exxonmobil-announces-13th-discovery-offshore-guyana,"Produced via ONE GUYANA FPSO (first oil Aug 2025, ~250k bopd)."
Tripletail,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2019,2003,,not_disclosed,discovery,medium,https://www.worldoil.com/news/2019/9/16/exxonmobil-finds-more-oil-offshore-guyana-at-tripletail,Turbot area.
Mako,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2019,1620,,not_disclosed,appraisal,high,https://corporate.exxonmobil.com/news/news-releases/2019/1223_exxonmobil-discovers-oil-offshore-guyana-at-mako-1-well,
Uaru,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2020,1933,,not_disclosed,sanctioned,high,https://corporate.exxonmobil.com/news/news-releases/2023/0426_exxonmobil-guyana-advances-fifth-offshore-guyana-development,"5th Stabroek project (FID Apr 2023); Errea Wittu FPSO, ~250k bopd."
Pinktail,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2021,1810,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2021/0909_exxonmobil-announces-discovery-at-pinktail-offshore-guyana,
Cataback,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2021,1807,,not_disclosed,discovery,medium,https://corporate.exxonmobil.com/news/news-releases/2021/1007_exxonmobil-increases-stabroek-resource-estimate-to-approximately-10-billion-barrels,Announced alongside the ~10 Bboe block resource update.
Whiptail,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2021,1795,,not_disclosed,sanctioned,high,https://corporate.exxonmobil.com/news/news-releases/2024/0412_guyana-offshore-development-whiptail,"6th Stabroek project (FID Apr 2024); FPSO Jaguar, ~250k bopd, first oil ~2027."
Fangtooth,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2022,1838,,not_disclosed,appraisal,high,https://corporate.exxonmobil.com/news/news-releases/2022/0105_exxonmobil-makes-two-discoveries-offshore-guyana,Fangtooth-1; a separate Fangtooth SE well followed in 2023.
Lau Lau,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2022,1461,,not_disclosed,appraisal,high,https://corporate.exxonmobil.com/news/news-releases/2022/0105_exxonmobil-makes-two-discoveries-offshore-guyana,Appraisal drilling began Jun 2024.
Sailfin,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2022,1407,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2022/1026_exxonmobil-announces-two-new-guyana-discoveries,Southeast Stabroek.
Yarrow,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2022,1085,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/news/news-releases/2022/1026_exxonmobil-announces-two-new-guyana-discoveries,Announced with Sailfin.
Lancetfish,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2023,1780,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/locations/guyana/news-releases/0426_exxonmobil-guyana-makes-discovery-at-lancetfish-1,
Bluefin,Stabroek,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 45% (op) / Hess 30% (->Chevron Jul 2025) / CNOOC 25%,2024,1294,,not_disclosed,discovery,high,https://corporate.exxonmobil.com/locations/guyana/news-releases/03152024_exxonmobil-guyana-announces-new-discovery,Southeast Stabroek; first 2024 discovery.
Tanager-1,Kaieteur,Guyana,Guyana-Suriname,ExxonMobil,ExxonMobil 35% (op) / Cataleya 25% / Ratio 25% / Hess 15%,2020,,,not_disclosed,non_commercial,high,https://www.offshore-energy.biz/exxonmobil-makes-non-commercial-discovery-at-tanager-1-well-off-guyana/,Ultra-deepwater; sub-commercial heavy oil. ExxonMobil/Hess later exited Kaieteur.
Jethro-1,Orinduik,Guyana,Guyana-Suriname,Tullow Oil,Tullow 60% (op) / TotalEnergies 25% / Eco Atlantic 15%,2019,1350,,not_disclosed,non_commercial,medium,https://www.offshore-energy.biz/tullow-makes-first-oil-discovery-on-orinduik-license-offshore-guyana/,"Heavy, high-sulphur oil; sub-commercial as found."
Joe-1,Orinduik,Guyana,Guyana-Suriname,Tullow Oil,Tullow 60% (op) / TotalEnergies 25% / Eco Atlantic 15%,2019,780,,not_disclosed,non_commercial,medium,https://www.oedigital.com/news/470736-tullow-makes-second-discovery-offshore-guyana,Heavy oil; sub-commercial as found.
Kawa-1,Corentyne,Guyana,Guyana-Suriname,CGX Energy,CGX Energy 32% (op) / Frontera Energy 68%,2022,355,,not_disclosed,discovery,high,https://www.prnewswire.com/news-releases/cgx-and-frontera-announce-light-oil-and-gas-condensate-discovery-at-the-kawa-1-exploration-well-offshore-guyana-301542642.html,Light oil + gas condensate; de-risked the later Wei-1 well.
Wei-1,Corentyne,Guyana,Guyana-Suriname,CGX Energy,CGX Energy 32% (op) / Frontera Energy 68%,2023,583,,not_disclosed,discovery,high,https://www.worldoil.com/news/2023/6/28/cgx-frontera-make-major-oil-discovery-offshore-guyana/,Light/medium crude; ~210 ft hydrocarbon-bearing sands; commerciality under evaluation.
Maka Central-1,Block 58,Suriname,Guyana-Suriname,TotalEnergies,TotalEnergies 50% (op) / APA 50% (Staatsolie up to 20% on GranMorgu dev),2020,1000,>123 m net pay (light oil + gas-condensate),net_pay,discovery,high,https://www.ogj.com/exploration-development/discoveries/article/14074323/maka-central-discovery-offshore-suriname-extends-guyana-cretaceous-oil-play,First Block 58 discovery (operator Apache at time of drilling).
