field_id,display_name,status,operator,capex_mm_usd,plateau_mbopd,npv_mm_usd,irr_annual,mirr_annual,payback_years,breakeven_oil_usd_per_bbl,cashflow_basis,npv_mm_usd_at_$50,npv_mm_usd_at_$60,npv_mm_usd_at_$70,npv_mm_usd_at_$80,npv_mm_usd_at_$100
anchor,Anchor,producing,Chevron,5600.0,75.0,2177.367066369409,0.1725805172345518,0.8580105576536137,5.0,55.2,documented_decline_curve_v1,-765.4204722568534,705.9732970562776,2177.367066369409,3648.76083568254,6591.548374308803
big_foot,Big Foot,producing,Chevron,5200.0,75.0,2577.367066369409,0.19191161740683338,0.942490875469352,5.0,52.48,documented_decline_curve_v1,-365.4204722568538,1105.9732970562777,2577.367066369409,4048.76083568254,6991.548374308803
cascade_chinook,Cascade/Chinook,producing,TotalEnergies,2900.0,75.0,4372.889202604906,0.3693649287716112,1.6487856792837743,3.0,40.28,documented_decline_curve_v1,1430.1016639786444,2901.495433291776,4372.889202604906,5844.282971918038,8787.070510544301
jack_st_malo,Jack/St. Malo,producing,Chevron,7500.0,94.0,2247.6333898496596,0.15629246453299261,0.7855178232186357,5.0,57.81,documented_decline_curve_v1,-1440.660325228591,403.48653231053584,2247.6333898496596,4091.780247388786,7780.073962467035
julia,Julia,producing,Equinor,4700.0,34.0,-1402.9568948191084,0.03976318764272535,0.23332488919250727,12.0,91.03,documented_decline_curve_v1,-2737.0205789963475,-2069.9887369077296,-1402.9568948191084,-735.9250527304896,598.1386314467501
kaskida,Kaskida,pre_fid,BP,10000.0,120.0,2443.7873061910536,0.14609935889024794,0.7395342466201029,6.0,59.62,documented_decline_curve_v1,-2264.6727556109654,89.5572752900438,2443.7873061910536,4798.017337092065,9506.477398894087
north_platte,North Platte,pre_fid,TotalEnergies,6000.0,75.0,1777.3670663694088,0.15565745837626865,0.7826670752174867,5.0,57.92,documented_decline_curve_v1,-1165.4204722568534,305.9732970562776,1777.3670663694088,3248.76083568254,6191.548374308803
shenandoah,Shenandoah,under_development,Beacon Offshore Energy,1800.0,100.0,8569.82275515921,0.9173851547385843,3.362754071935087,2.0,26.32,documented_decline_curve_v1,4646.106036990861,6607.964396075037,8569.82275515921,10531.681114243389,14455.397832411736
stones,Stones,producing,Shell,3800.0,50.0,1384.9113775796063,0.16814366488137056,0.8383833593773276,5.0,55.88,documented_decline_curve_v1,-576.9469815045692,403.9821980375185,1384.9113775796063,2365.840557121693,4327.698916205868
tiber,Tiber,pre_fid,BP,8000.0,80.0,295.85820412737024,0.10711148254738267,0.5592804564081524,7.0,68.11,documented_decline_curve_v1,-2843.115170407312,-1273.6284831399703,295.85820412737024,1865.3448913947102,5004.318265929391
