Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
 00016,1,2000,77574,0,11981,50482,202792,18,18
 00016,2,2000,73712,0,8565,54263,174862,18,18
 00016,3,2000,86107,0,9499,57310,196089,18,18
 00016,4,2000,81442,0,4055,74257,201205,18,18
 00016,5,2000,79007,0,8459,56671,171823,18,18
 00016,6,2000,80708,452,20330,49692,151791,19,18
 00016,7,2000,84452,124,22712,60914,142422,20,18
 00016,8,2000,85809,13,29719,75599,147496,19,18
 00016,9,2000,78932,0,25616,71906,176223,17,18
 00016,10,2000,71937,0,28985,69507,135500,16,18
 00016,11,2000,72759,0,15311,56402,132353,17,18
 00016,12,2000,64736,0,15799,49876,198977,17,18
 00016,1,2001,62614,0,18907,49820,198839,17,18
 00016,2,2001,62865,0,18506,47816,176990,17,18
 00016,3,2001,66626,0,18984,47125,194841,16,18
 00016,4,2001,61401,0,16052,48983,174522,16,18
 00016,5,2001,62383,0,25003,41861,155140,16,18
 00016,6,2001,65484,0,23527,44289,167253,17,18
 00016,7,2001,95763,0,25252,58212,169711,18,18
 00016,8,2001,110870,0,26322,52572,174155,18,18
 00016,9,2001,101599,0,23543,48525,152745,18,18
 00016,10,2001,94083,0,13223,26885,115554,16,18
 00016,11,2001,68760,0,0,5501,24958,7,18
 00016,12,2001,90458,0,19372,41836,134781,15,18
 00016,1,2002,66871,0,17934,44227,127188,17,18
 00016,2,2002,92069,15,18686,56059,122660,18,18
 00016,3,2002,107631,2,18260,54201,170289,19,18
 00016,4,2002,100255,0,15722,53641,160129,19,18
 00016,5,2002,96322,0,23752,60051,169195,19,18
 00016,6,2002,87304,0,14469,49269,135597,19,18
 00016,7,2002,84081,0,11184,42225,112853,17,18
 00016,8,2002,88839,0,13235,47198,93589,18,18
 00016,9,2002,91691,0,30359,43077,84044,17,18
 00016,10,2002,91488,0,19914,47870,82833,17,18
 00016,11,2002,93008,0,17237,54997,134995,17,18
 00016,12,2002,89150,0,15216,54967,158656,17,18
 00018,1,2000,313,0,0,837,1510,1,21
 00018,2,2000,467,0,0,1772,2269,1,21
 00018,3,2000,470,0,0,1539,2486,1,21
 00018,4,2000,482,0,0,1677,3167,1,21
 00018,5,2000,309,0,0,2180,2061,1,21
 00018,6,2000,472,0,0,2145,1489,1,21
 00018,7,2000,381,0,0,1936,1370,1,21
 00018,8,2000,471,0,0,2252,2064,1,21
 00018,9,2000,466,0,0,1221,2050,1,21
 00018,10,2000,389,0,0,1400,2109,1,21
 00018,11,2000,25,0,0,189,149,1,21
 00018,12,2000,145,0,0,897,978,1,21
 00018,1,2001,71,0,0,406,498,1,21
 00018,2,2001,0,0,0,0,0,0,21
 00018,3,2001,437,0,0,1222,2396,1,21
 00018,4,2001,488,0,0,2449,2922,1,21
 00018,5,2001,352,0,0,2139,2183,1,21
