Lease Number,ROW Number,RUE Number,Lease Designation,Lease Status,Area Code,Block Number,Water Depth(Meters),Date Last Reviewed,Total Decom Liability,Boreholes Plug Cost (Spud Wells),Boreholes Count (Spud Wells),Boreholes Plug Cost (Prop Wells),Boreholes Count (Prop Wells),Platforms (Installed) Decom Cost,Platforms (Installed) Decom Count,Platforms (Installed) Site Clear Cost,Platforms (Installed) Site Clear Count,Platforms (Prop) Decom Cost,Platforms (Prop) Decom Count,Platforms (Prop) Site Clear Cost,Platforms (Prop) Site Clear Count,Pipelines (Installed) Decom Cost,Pipelines (Installed) Count,Pipelines (Prop) Decom Cost,Pipelines (Prop) Count
G36857,,,NON,PRIMRY,WR,  712,2256,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36856,,,NON,PRIMRY,WR,  668,2316,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36855,,,NON,PRIMRY,WR,  548,2206,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36854,,,NON,PRIMRY,WR,  547,2161,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36853,,,NON,PRIMRY,WR,  504,2168,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36852,,,NON,PRIMRY,WR,  503,2137,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36851,,,NON,PRIMRY,WR,  502,2205,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36850,,,NON,PRIMRY,WR,  496,2268,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36849,,,NON,PRIMRY,WR,  459,2203,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36848,,,NON,PRIMRY,WR,  408,2407,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36847,,,NON,PRIMRY,WR,  190,2436,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36846,,,NON,PRIMRY,WR,  146,2366,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36845,,,NON,PRIMRY,WR,   22,1972,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36844,,,NON,PRIMRY,WR,   20,1941,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36843,,,NON,PRIMRY,KC,  831,2193,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36842,,,NON,PRIMRY,KC,  824,2074,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36841,,,NON,PRIMRY,KC,  787,2184,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36840,,,NON,PRIMRY,KC,  780,2081,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36839,,,NON,PRIMRY,KC,  779,2137,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36838,,,NON,PRIMRY,KC,  778,2097,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36837,,,NON,PRIMRY,KC,  730,1934,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36836,,,NON,PRIMRY,KC,  729,1950,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36835,,,NON,PRIMRY,LL,  150,2977,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36834,,,NON,PRIMRY,LL,  149,2980,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36833,,,NON,PRIMRY,LL,  106,2962,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36832,,,NON,PRIMRY,LL,  105,2937,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36831,,,NON,PRIMRY,LL,   59,2917,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36830,,,NON,PRIMRY,LL,   16,2896,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36829,,,NON,PRIMRY,AT,  530,1731,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36828,,,NON,PRIMRY,AT,  486,1564,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36827,,,NON,PRIMRY,AT,  445,1617,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36826,,,NON,PRIMRY,AT,  442,1460,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36825,,,NON,PRIMRY,AT,  401,1504,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36824,,,NON,PRIMRY,AT,  400,1338,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36823,,,NON,PRIMRY,GC,  637,1710,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36822,,,NON,PRIMRY,GC,  522,1249,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36821,,,NON,PRIMRY,GC,  392,1283,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36820,,,NON,PRIMRY,GC,  328,973,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36819,,,NON,PRIMRY,GC,  284,917,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36818,,,NON,PRIMRY,GC,  249,906,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36817,,,NON,PRIMRY,GC,  235,888,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36816,,,NON,PRIMRY,GC,  168,855,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36815,,,NON,PRIMRY,GC,  159,948,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36814,,,NON,PRIMRY,GC,  153,752,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36813,,,NON,PRIMRY,GC,  124,844,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36812,,,NON,PRIMRY,GC,  115,854,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36811,,,NON,PRIMRY,GC,   71,679,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36810,,,NON,PRIMRY,GB,  895,1549,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36809,,,NON,PRIMRY,GB,  852,1128,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36808,,,NON,PRIMRY,GB,  851,1391,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36807,,,NON,PRIMRY,GB,  806,1175,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36806,,,NON,PRIMRY,GB,  805,1018,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36805,,,NON,PRIMRY,GB,  762,903,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36804,,,NON,PRIMRY,GB,  677,1255,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36803,,,NON,PRIMRY,GB,  676,1280,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36802,,,NON,PRIMRY,GB,  630,885,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36801,,,NON,PRIMRY,GB,  500,772,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36800,,,NON,PRIMRY,DC,  982,2854,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36799,,,NON,PRIMRY,DC,  706,2470,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36798,,,NON,PRIMRY,DC,  666,2543,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36797,,,NON,PRIMRY,DC,  623,2616,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36796,,,NON,PRIMRY,DC,  621,2561,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36795,,,NON,PRIMRY,DC,  578,2580,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36794,,,NON,PRIMRY,DC,  356,2397,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36793,,,NON,PRIMRY,MC,  981,1322,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36792,,,NON,PRIMRY,MC,  970,767,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36791,,,NON,PRIMRY,MC,  969,779,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36790,,,NON,PRIMRY,MC,  938,1347,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36789,,,NON,PRIMRY,MC,  937,1321,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36788,,,NON,PRIMRY,MC,  926,754,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36787,,,NON,PRIMRY,MC,  925,700,9/17/2019,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
