Segment Number,Originating Id Name,Originating Area Code,Originating Block Number,Originating Lease Number,Receiving Id Name,Receiving Area Code,Receiving Block Number,Receiving Lease Number,Approved Date,Install Date,Status Code,Pipeline Size Code,ROW Number,Production Code,Facility Operator,Operator,Max Water Depth (feet),Max Allowable Operating Pressure,Cathodic Code,Pipeline ROW Seg Status Code,Pipeline ROW Permit,ROW Holder,Segment Length,Authority,Bidirectional,Out of Service Date,Temporary Cessation of Operations Date,Flush and Fill Date,Abandonment Approval Date,Abandonment Date
1,#01,EI,  207, 00575,A,EI,  193, 00572,6/10/1970,9/2/1970,ABN,06,,BLKG,01963,"Apex Oil & Gas, Inc.",83,1440,,,,,9400,DOI,,,,,,5/11/2005
2,A,SM,   33, 00780,B,SM,   33, 00780,5/19/1970,8/27/1970,ABN,06,,BLKO,00114,BP America Production Company,10,1440,,,,,12500,DOI,,,,,7/1/1988,2/1/1989
3,#01,SS,   38,UNLEASE,PP,SS,   26,G01441,2/17/1970,3/24/1972,ABN,04,,G/C,00114,BP America Production Company,10,1440,,,,,10560,DOI,,,,,,
4,A,WD,   35,G01069,C,WD,   32, 00367,12/19/1969,1/14/1970,ABN,04,,OIL,00114,BP America Production Company,19,1440,,,,,27148,DOI,,,,,,
6,A Platform,SS,  219, 00829,F-Pump Platform,SS,  208,G01228,12/2/1970,8/4/1971,ACT,08,G13496,OIL,03209,"Renaissance Offshore, LLC",113,1440,,ACT,03209,"Renaissance Offshore, LLC",65848,DOI,N,,,,,
7,A,SM,   50, 00788,A,SM,   49, 00787,8/27/1970,7/16/1971,ABN,03,,OIL,01364,Newfield Exploration Company,100,0,,,,,3900,DOI,,,,,,
8,#01,EI,  193, 00572,A,EI,  193, 00572,6/10/1970,9/1/1970,ABN,03,,GAS,01364,Newfield Exploration Company,90,1440,,,,,2800,DOI,,,,,,
9,Platform A,EI,  193, 00572,Platform B,EI,  215, 00578,5/20/1970,9/2/1970,ABN,04,G13439,BLKG,02312,McMoRan Oil & Gas LLC,103,1440,,RELQ,00078,Chevron U.S.A. Inc.,22000,DOI,Y,5/5/2011,8/5/2012,,5/31/2013,7/22/2013
10,B-PRD,EI,  215, 00578,A,EI,  188, 00443,5/20/1970,9/20/1970,OUT,06,G13441,OIL,02628,"Arena Offshore, LP",103,1440,,ACT,02628,"Arena Offshore, LP",58900,DOI,,3/28/2019,,,,
11,B,WD,   35,G01069,A,WD,   35,G01069,10/27/1971,12/16/1971,ABN,04,,BLKO,00114,BP America Production Company,70,1440,,,,,6000,DOI,,,,,,
