ROW Number,MMS Company Number,Company Name,ROW Effective Date,Termination Date,ROW Status Code,WCD Volume,ROW Description
 00519,03041,"Hilcorp Energy GOM, LLC",1/13/2010,10/17/2012,RELQ,,"A 200-foot wide right-of-way to operate and maintain an 08-inch pipeline, 2.03 mile long, to transport gas from Platform A in Block 39 to a 24-inch sub-sea tie-in in Block 22, all in Vermilion Area. [Segment No. 12344]"
 00641,00178,"Gulf South Pipeline Company, LP",2/9/1956,,ACT,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of the following pipelines:  A 12-inch pipeline, 0.98 miles in length (SN 1847), to transport gas from Platform E to a 14-inch subsea tie-in with segment number 5279, all located in Eugene Island Area Block 32; one 8-inch pipeline, 0.14 miles in length (SN 5273), to transport gas from a 12-inch subsea tie-in to Platform GM, all located in Eugene Island Area Block 32; and one 14-inch pipeline, 0.15 miles in length (SN 5279), to transport gas from a 12-inch subsea tie-in to Platform PP, all located in Eugene Island Area Block 32."
 00642,00178,"Gulf South Pipeline Company, LP",6/14/1951,,ACT,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of the following pipelines: a 10-inch pipeline, 0.23 miles in length, to transport gas and oil from Platform D to the ROW accessory GM-Valve, Complex ID No. 516-1, all located in Eugene Island Area Block 32 (SN 1841); one 10-inch pipeline, 1.17 miles in length, to transport gas from Platform A in Block 33 to PP Platform in Block 32, all located in Eugene Island Area (SN 1843); one 20-inch pipeline. 2.49 miles in length, to transport gas from GM-Valve in Block 32 to the Federal/State boundary in Block 19. all located in Eugene Island Area (SN 3548); one 14-inch pipeline, 0.29 miles in length, to transport gas from Platform A to the GM-Valve, all located in Eugene Island Area Block 32 (SN 5272) and one 14-inch pipeline, 10.33 miles in length, to transport gas from ROW accessory Platform E, Complex ID No. 2039-1 in Block 51 to the GM-Valve in Block 32, all located in Eugene Island Area (SN 17007)."
 00643,03203,"Kinetica Partners, LLC",4/24/1957,,ACT,,"Pipeline Right-of-way (ROW) OCS-00643 is a 200-foot wide and approximately 41.07 miles (216,874 feet) long corridor. The purpose of the pipeline ROW OCS-00643 is to maintain and operate the Pipeline ROW accessory structure, CG-Valve (Complex ID No. 25000-1) located in East Cameron Area Block 49, PP-Valve (Complex ID No. 25025-1) located in West Cameron Area Block 192, and the following:

A 16-inch pipeline (PSN 1232), 13.26 miles (70,000 feet) in length, to transport gas originating at Platform A in Block 71, through Blocks 70, 59, 60, 61, 62 terminating at CG-Valve at location point: X = 1,502,416 and Y = 272,560 in Block 49, all located in East Cameron Area.

A 20-inch pipeline (PSN 1335), 10.47 miles (55,294 feet) in length, to transport gas originating at PP-Valve in West Cameron Area Block 192, through Blocks 82, 65, 66, 63, 62 in East Cameron Area terminating at CG-Valve at location point: X = 1,502,416 and Y = 272,560 in Block 49, East Cameron Area.

A 26-inch pipeline (PSN 3515), 17.34 miles (91,580 feet) in length, to transport gas originating at CG-Valve in Block 49, through Blocks 44, 31, 30, 27, 13, 10 terminating at a point on the Federal/State boundary line at X = 1,485,609 and Y = 362,687 in Block 3, all located in East Cameron Area
"
 00643A,00014,"Tennessee Gas Pipeline Company, L.L.C.",6/10/1970,9/18/2002,RELQ,,"A 200-foot wide right of way to operate and maintain an existing 6-5/8-inch pipeline, 23.42 miles in length, with associated umbilical, to transport bulk gas from Subsea Well No. A1 , through a Subsea Manifold SLED No. 2 in Green Canyon Area Block 116, through Green Canyon Area Blocks 72, 28, and 27, through Ewing Banks Area Blocks 997, 953, 952, and 908, through South Timbalier Area Blocks 318, 317, 314, and 301 to Platform A in South Timbalier Area Block 300.   [Previous Segment No. 10299, 11061]
"
 00643B,00014,"Tennessee Gas Pipeline Company, L.L.C.",8/20/1971,11/2/1995,RELQ,,
 00643C,03203,"Kinetica Partners, LLC",10/19/1972,5/25/2016,RELQ,,"A 200-foot wide and approximately 4.74 miles (25,000 feet) long corridor associated with the 12-inch Pipeline Segment No. (PSN) 1378.  The purpose of pipeline ROW OCS- 00643C is to maintain and operate PSN 1378 and to transport gas/condensate from Platform A in Block 81, through Block 82, all in East Cameron Area, to Platform PP in Block 192, West Cameron Area."
 00643D,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/14/1976,6/5/2013,RELQ,,
 00644,01834,Talos Petroleum LLC,7/10/1957,8/10/2006,RELQ,,
 00644A,00011,"Transcontinental Gas Pipe Line Company, LLC",12/4/1969,5/29/1987,RELQ,,
 00645,00014,"Tennessee Gas Pipeline Company, L.L.C.",1/20/1958,7/22/1987,RELQ,,
 00647,00011,"Transcontinental Gas Pipe Line Company, LLC",11/21/1958,,ACT,,"Pipeline Right-of-way (ROW) OCS-00647 is a 200-foot wide and approximately 20.29 miles (107,154 feet) long corridor.  The purpose of the pipeline ROW OCS-00647 is to maintain and operate the Pipeline ROW accessory structures, B-VALVE and JP-VALVE, (Complex ID Nos. 20922-3 and 25021-1) located in Vermillion Area Block 67 and 76 respectively and the following:

Pipeline Segment No. 1569
A 16-inch pipeline, 1.36 miles (7,200 feet) in length, to transport Gas originating at Platform A in Block 66, terminating at a Valve in Block 67, all in the Vermilion Area.

Pipeline Segment No. 1577
A 16-inch pipeline, 1.58 miles (8,333 feet) in length, to transport gas originating at an End Connection in Block 76, terminating at Platform B in Block 67, all located in the Vermilion Area.

Pipeline Segment No. 3531
A 16-inch pipeline, 17.35 miles (91,621 feet) in length, to transport gas originating at Platform B in Block 67, through Block 56, 46, 35, and 26, terminating at the Federal/State Boundary in Block 15, all located in the Vermilion Area.

"
 00647A,00011,"Transcontinental Gas Pipe Line Company, LLC",5/22/1969,8/17/1994,RELQ,,
 00647C,00011,"Transcontinental Gas Pipe Line Company, LLC",2/7/1975,8/19/1994,RELQ,,
 00648,03255,"High Point Gas Gathering, L.L.C.",11/17/1958,,ACT,,"A 200-foot wide right-of-way to operate and maintain a bidirectional 12-inch pipeline, 9.11 miles in length, to transport gas from Platform F in Block 29, through Blocks 30, 21 to the Federag/State Boundary in Block 20, all located in West Delta Area."
 00649,00014,"Tennessee Gas Pipeline Company, L.L.C.",1/21/1959,4/10/2014,RELQ,,
 00651,00011,"Transcontinental Gas Pipe Line Company, LLC",1/19/1960,7/15/1998,EXP,,"Pipeline Right-of-way (ROW) OCS-00651 is a 200-foot wide and approximately 11.07 miles (58,460 feet) long corridor associated with the 16-inch Pipeline Segment No. (PSN) 1573. The purpose of the pipeline ROW OCS-G00651 is to maintain and operate PSN 1573 and to transport gas originating at a 16-inch SSTI in Block 71, through Blocks 73, 74, and 75, terminating at Platform A in Block 76, all located in the Vermilion Area."
 00651A,00011,"Transcontinental Gas Pipe Line Company, LLC",11/19/1969,8/17/1994,RELQ,,
