API Well Number,Status Date,Well Name,Well Name Bp Suffix,Well Name St Suffix,Company Number,Company Name,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block
177000002702,3/17/2013,A001,02,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000002702,7/13/2013,A001,02,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000002801,3/15/2013,A010,00,01,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000002801,7/13/2013,A010,00,01,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000002900,5/2/2013,A003,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000002900,7/13/2013,A003,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000003000,3/15/2013,A004,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000003000,7/13/2013,A004,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000003300,3/14/2013,A007,00,00,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000003300,7/13/2013,A007,00,00,01834,Talos Petroleum LLC, 00301,WC,56, 00299,WC,45
177000003400,3/14/2013,A008,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000003400,7/13/2013,A008,00,00,01834,Talos Petroleum LLC, 00299,WC,45, 00299,WC,45
177000010301,10/31/2017,A001,00,01,03295,Fieldwood Energy LLC, 00526,WC,68, 00526,WC,68
177000010301,5/12/2018,A001,00,01,03295,Fieldwood Energy LLC, 00526,WC,68, 00526,WC,68
177000010400,10/30/2017,A002,00,03,03295,Fieldwood Energy LLC, 00526,WC,68, 00526,WC,68
177000010400,5/12/2018,A002,00,03,03295,Fieldwood Energy LLC, 00526,WC,68, 00526,WC,68
177000010500,11/22/2007,B001,00,00,00105,Apache Corporation, 00526,WC,68, 00526,WC,68
177000010500,11/22/2007,B001,00,00,00105,Apache Corporation, 00526,WC,68, 00526,WC,68
177000010500,5/19/2009,B001,00,00,00105,Apache Corporation, 00526,WC,68, 00526,WC,68
177000012700,7/1/2005,B001,00,00,02481,BP Exploration & Production Inc., 00082,WC,111, 00082,WC,111
177000012700,5/18/2006,B001,00,00,02481,BP Exploration & Production Inc., 00082,WC,111, 00082,WC,111
177000013800,6/6/2005,001,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000013800,7/31/2008,001,00,00,00818,"Mariner Energy, Inc.", 00081,WC,110, 00081,WC,110
177000015801,8/18/2007,002,00,01,01834,Talos Petroleum LLC, 00762,WC,176, 00762,WC,176
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/14/1949,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017200,9/22/2019,A001,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017300,4/27/1950,A002,00,00,02025,"EP Energy E&P Company, L.P.", 00251,WC,132, 00253,WC,149
177000017300,9/24/2019,A002,00,00,02025,"EP Energy E&P Company, L.P.", 00251,WC,132, 00253,WC,149
177000017400,6/22/1950,A003,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017400,6/22/1950,A003,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017400,9/25/2019,A003,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017500,4/20/1971,A004,00,00,02375,"Energy XXI GOM, LLC", 00250,WC,131, 00253,WC,149
177000017600,9/21/2019,A005,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017700,12/20/2013,A006,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017700,9/22/2019,A006,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017800,12/29/1954,A007,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017800,12/29/1954,A007,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017800,9/28/2019,A007,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000017900,11/6/1954,A008,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017900,11/6/1954,A008,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017900,12/17/2013,A008,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000017900,9/26/2019,A008,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018000,6/23/2002,A009,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018100,6/23/2002,A010,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018200,6/25/2002,A011,00,00,02025,"EP Energy E&P Company, L.P.", 00254,WC,150, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
177000018300,12/6/1956,A012,00,00,02375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149
