Field Name,Lease Number,Completion Name,API Well Number,Reservoir Name,Test Date,Shut-In Time,Temp,SI Pressure,BH MD (feet),True Vertical Depth (feet),BH Pressure,Remark
AC024,G10379,SS001,608054000501,P1-10,4/22/2002,-,142,2316,12902,11419,6745,Deep water well. Accepted per Steve Walsh.
AC024,G10379,SS001,608054000501,P1-10,4/22/2002,-,142,2316,13348,11799,6959,Deep water well. Accepted per Steve Walsh.
AC024,G10379,SS001,608054000501,P1-10,4/12/2003,4,142,3546,13348,11799,5892,Subsea well.  Accepted per Steve Walsh.
AC024,G10379,SS001,608054000501,P1-10,4/12/2003,4,142,3546,12902,11419,5753,Subsea well.  Accepted per Steve Walsh.
AC025,G10380,HA005,608054001100,P1-10,9/30/2003,133,136,1170,14858,12559,5525,Subsea completion.  Accepted per Holly Karrigan.
AC025,G10380,HA005,608054001100,P1-10,9/30/2003,133,136,1170,14499,12383,5459,Subsea completion.  Accepted per Holly Karrigan.
AC025,G10381,HA002,608054000802,P1-10,9/22/2002,-,133,1245,0,-779,1245,Deep water well.
AC025,G10381,HA002,608054000802,P1-10,9/22/2002,-,133,1245,14102,11598,5283,Deep water well.
AC025,G10380,HA001,608054000700,P1-10,10/7/2000,8,131,6677,13160,12171,6463,Deep water well.
AC025,G10380,HA003,608054000902,P1-10,8/7/2001,-,136,2190,13640,12385,6138,Deep water well.
AC065,G09249,SS001,608054000302,A-50,3/21/2004,2,125,4677,10943,10006,5517,Waiver approved - Diana Deep Water (DWOP)
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,4000,4078,7234,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,12279,12186,8050,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,2000,2078,7013,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,10000,10029,7838,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,12000,11914,8025,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,78,156,6782,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,11500,11444,7982,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,6000,6078,7447,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,11000,10982,7935,
BA007A,G04558, A004,427044032600,BIG HUM 2,7/26/2000,6,276,6804,8000,8076,7647,
BA017A,G23166, B001,427044034500,LWR CIB CARST A,12/16/2003,-,999,99999,,,,Waiver approved per Loc Van Than.
BA020A,G03936,JD001,427044033100,ZZ RA,4/2/2004,-,999,9999,,,,BHP WAIVER APPRVD. PER LOC VAN THAN.
BA022A,G03938, A003,427044008300,S SAND S5B,9/9/2000,24,281,1579,12731,12714,2019,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,5711,5452,302,
BA022A,G03938, A003,427044008300,S SAND S5B,9/9/2000,24,281,1579,4051,4102,1731,
BA022A,G03938, A005,427044010500,S SAND S4A,9/7/2000,648,283,1719,8050,7998,2028,
BA022A,G03938, A003,427044008300,S SAND S5B,9/9/2000,24,281,1579,51,102,1579,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,7502,7073,311,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,3943,3894,291,
BA022A,G03938, A005,427044010500,S SAND S4A,9/7/2000,648,283,1719,13200,12887,2190,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,8482,7913,2458,
BA022A,G03938, A005,427044010500,S SAND S4A,9/7/2000,648,283,1719,12050,11785,2164,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,8360,7809,316,
BA022A,G03938, A005,427044010500,S SAND S4A,9/7/2000,648,283,1719,50,93,1719,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,2028,2056,269,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,7927,7439,313,
BA022A,G03938,JA004,427044011500,M RC,9/24/2000,42,208,2080,28,56,244,
BA022A,G03938, A005,427044010500,S SAND S4A,9/7/2000,648,283,1719,4050,4093,1884,
BA022A,G03938, A003,427044008300,S SAND S5B,9/9/2000,24,281,1579,8051,8101,1867,
BA022A,G03938, A003,427044008300,S SAND S5B,9/9/2000,24,281,1579,12051,12085,1997,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,77,98,2547,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,75,133,6,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,8000,6943,2988,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,7500,6527,2987,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,9500,5227,1927,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10800,5896,2212,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,9180,7897,3099,
BA052A,G06085, F002,427054013201,MF-1 AB SAND,5/13/2004,-,999,99999,,,,Waiver approved per Dannette Lockhart.
BA052A,G06085, B006,427054014601,5800'SAND-FB1,4/27/2004,-,999,9999,,,,Waiver approved per Dannette Lockhart.
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10850,5922,2224,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10750,5869,2201,
BA052A,G06085, A009,427054014900,7000'SAND,4/27/2004,-,999,99999,,,,Waiver approved per Dannette Lockhart.
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,4000,2913,920,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10250,5604,2088,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,8500,7352,3012,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10000,5474,2031,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,6000,3735,1277,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,2000,2000,2682,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10500,5736,2144,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,10923,5961,2242,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,8750,7555,3026,
BA052A,G06085, A008,427054014700,5800'SAND-FB2,2/11/2004,336,182,6,8000,4568,1643,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,9000,7754,3047,
BA052A,G06085, A002,427054008400,MF-1A UPPER,12/11/2003,6,216,2547,4000,3670,2788,
