PROJECT,OPERATOR,REGION,COUNTRY,WATER_DEPTH_M,FID_YEAR,FIRST_OIL_YEAR,SANCTIONED_CAPEX_USD_MM,ACTUAL_COST_USD_MM,CAPEX_BASIS,WELL_COUNT,DEVELOPMENT_TYPE,HOST_TYPE,SURF_KM,PEAK_PRODUCTION_BOEPD,RECOVERABLE_RESOURCE_MMBOE,USD_PER_BOE,SOURCE_TITLE,SOURCE_URL,PAGE_REFERENCE,QUOTED_TEXT,ACCESSED_DATE,CONFIDENCE,SOURCE_PRIORITY,NOTES,SCOPE_IS_OFFSHORE_ONLY
Clair Ridge,BP,UK West of Shetland,United Kingdom,,2011,2018,,,"GBP ONLY: the UK Government consent announcement states 'GBP 4.5 billion Clair Ridge development'. No USD figure in the fetched source, so no FX applied.",,new_host_fixed,two bridge-linked fixed steel jacket platforms,,,640.0,,UK Government (DECC) news release — Consent given for GBP 4.5 billion Clair Ridge development,https://www.gov.uk/government/news/consent-given-for-4-5-billion-clair-ridge-development,see quoted_text,"'The Government today gave BP and its partners Shell, ConocoPhillips and Chevron consent for their £4.5 billion Clair Ridge development west of the Shetland Islands.' / 'The Clair Ridge project has the capability to produce an estimated 640 million barrels of oil' / 'planned to come on stream in 2016, extending the production life of the greater Clair area to the year 2050'",2026-07-14,medium,regulator_document,"USD LEFT NULL (GBP only). Pre-2017 backfill. Consented 2011, targeted 2016, actually started Nov 2018 — a 2-year slip.",True
Ichthys LNG,INPEX,Australia - Browse,Australia,,2012,2018,34000.0,,"gross project cost at FID, stated in USD; FULL INTEGRATED project incl. the onshore Darwin LNG plant, CPF and FPSO",,new_host_fpso,CPF (semi-sub) + FPSO + 890 km pipeline to onshore Darwin LNG,,,,,INPEX media release — Final Investment Decision on Ichthys LNG Project,https://www.inpex.com.au/news-and-updates/media-centre/media-releases/final-investment-decision-on-ichthys-lng-project/,see quoted_text,'US$34 billion Ichthys LNG Project' (posted 13 January 2012) / '8.4 million tonnes of liquefied natural gas per annum' / 'estimated 40 years of gas and condensate reserves from the Browse Basin offshore Western Australia',2026-07-14,high,press_release,"THE CANONICAL MEGA-OVERRUN BENCHMARK: sanctioned US$34bn (2012), actual widely reported ~US$45bn, first gas 2018 vs a 2016 target. The overrun figure is NOT verbatim-sourced, so actual_cost is null. NOTE: includes a large ONSHORE LNG plant — NOT an offshore-only comparable, and back-allocating it with offshore stage priors would be wrong.",False
Stampede,Hess,US GOM - Green Canyon,USA,1067.0,2014,2018,6000.0,,gross project cost at FID (all four 25% co-owners); incl. subsea wells + TLP,10,new_host_tlp,"tension leg platform, 80,000 bopd",,80000.0,350.0,17.14,"Offshore Technology project profile, Stampede Oil and Gas Project, Gulf of Mexico",https://www.offshore-technology.com/projects/stampede-oil-gas/,see quoted_text,"The project is expected to require an investment of $6bn, and initial production from the deepwater fields is expected in 2018 ... six subsea production wells and four water injection wells from two subsea drill centres ... a water depth of approximately 3,500ft ... The TLP will be designed for a production capacity of 80,000 barrels per day (bpd) of oil ... combined recoverable reserves of up to 350 million barrels of oil equivalent",2026-07-14,medium,secondary_operator_confirmed,Pre-2017 backfill. investors.hess.com timed out on fetch; secondary profile used. Resource 'up to 350 mmboe' is a CEILING.,True
Appomattox,Shell,US GOM - Mississippi Canyon,USA,2195.0,2015,2019,,,,20,new_host_semi,semi-submersible four-column production host,,175000.0,650.0,,"Shell press release (PR Newswire), Shell Takes FID for the Appomattox Deep-Water Development (1 Jul 2015)",https://www.prnewswire.com/news-releases/shell-takes-final-investment-decision-for-the-appomattox-deep-water-development-in-gulf-of-mexico-300107393.html,see quoted_text,"During design work for Appomattox, Shell reduced the total project cost by 20% ... go-forward project breakeven price is estimated to be around $55 per barrel Brent equivalent ... 15 producing wells, and five water injection wells ... approximately 7,200 feet (2,195 metres) of water ... average peak production estimated to reach approximately 175,000 barrels of oil equivalent (boe) per day ... capital for the development of 650 million boe resources at Appomattox and Vicksburg",2026-07-14,high,press_release,NO CAPEX DISCLOSED. The widely-cited '$10bn Appomattox' figure is NOT in Shell's release and is therefore NOT recorded. Resource of 650 mmboe covers Appomattox + Vicksburg COMBINED.,True
Coral South FLNG,Eni,East Africa,Mozambique,,2017,2022,,,"NOT DISCLOSED. Eni's launch release states only the financing structure ('Project Finance covering around 60% of its entire cost'), never a cost.",6,new_host_fpso,"FLNG (Coral Sul), 3.4 MTPA",,,,,"Eni press release, June 2017 — Eni launches Coral South project in Mozambique",https://www.eni.com/en-IT/media/press-release/2017/06/eni-launches-coral-south-project-in-mozambique.html,see quoted_text,'The Floating Liquefied Natural Gas (FLNG) unit will have a capacity of around 3.4 MTPA (million tons per year).' / 'The Coral field contains approximately 450 billion cubic meters (16 TCF) of gas in place.' / 'The FLNG facilities construction will be financed through Project Finance covering around 60% of its entire cost.',2026-07-14,medium,press_release,"Africa's first FLNG. Well count (6) is from a search summary, not verbatim in the fetched release — treat as soft.",True
Johan Castberg,Equinor,Barents Sea,Norway,,2017,2025,,,"NOK ONLY, no USD figure published by the operator. PDO (Dec 2017): 'Capital expenditures ... estimated at some NOK 49 billion' (gross). Restated NOK 57bn (2023 money) at PDO; updated NOK 80bn (2023); NOK 86bn at startup (2024).",30,new_host_fpso,FPSO,,220000.0,,,Equinor press releases (PDO 5 Dec 2017; project update 19 Sep 2023; first oil 31 Mar 2025),https://www.equinor.com/news/20250331-johan-castberg-strengthens-norway-as-long-term-energy-exporter,see quoted_text,"PDO 2017: 'Capital expenditures for Johan Castberg are estimated at some NOK 49 billion.' / 'This contract includes 30 wells, 10 subsea templates and two satellite structures.' 2023 update: 'The updated project cost estimate is now NOK 80 billion.' 'When the plan for development and operation (PDO) was submitted in 2017, the cost estimate was NOK 57 billion (2023).' 2025: 'This major field development with a price tag of NOK 86 billion (2024) will be repaid in less than two years.' 'At peak, Johan Castberg can produce 220,000 barrels of oil per day.'",2026-07-14,high,press_release,"USD LEFT NULL — no operator USD figure exists and we do not invent an FX rate. CLEAR COST-OVERRUN CASE: NOK 49bn -> 57bn (rebased) -> 80bn -> 86bn. Water depth given as a 360-390 m range, so left null. Equinor is unusually candid about restating; most operators go silent after FID.",True
Leviathan Phase 1,Noble Energy (now Chevron),Mediterranean,Israel,,2017,2019,3750.0,,"gross Phase 1 cost, stated in USD as an ESTIMATE ('estimated price tag of $3.75 billion'); trade press, not an operator release",4,new_host_fixed,"fixed steel jacket in 86 m water, with subsea wells in 1,600-1,750 m",118.0,,,,Offshore Magazine — Deepwater Leviathan gas project secures Israel's energy needs,https://www.offshore-mag.com/field-development/article/14075204/deepwater-leviathan-gas-project-secures-israels-energy-needs,see quoted_text,"'Phase 1, with an estimated price tag of $3.75 billion' ... 'drilling four high-output subsea wells' ... reservoir in 'water depths ranging from 1,600-1,750 m (5,249-5,741 ft)' with the platform in '86 m (282 ft) of water' ... '22 tcf recoverable' and '40 MMbbl of associated condensate'",2026-07-14,medium,secondary_operator_confirmed,"HYBRID ARCHITECTURE: deepwater subsea wells (1,600-1,750 m) tied back to a SHALLOW-water fixed platform (86 m). water_depth_m left null because the two are incompatible and picking either would mislead. surf_km = 'two 118-km flowlines'. Reserves are 22 tcf gas + 40 mmbbl condensate — not convertible to mmboe without an assumed factor, so left null.",True
Liza Phase 1,ExxonMobil,Guyana - Stabroek,Guyana,1700.0,2017,2019,4400.0,,"gross project cost at FID, incl. ~$1.2bn lease capitalization for the FPSO",17,new_host_fpso,"FPSO (Liza Destiny), 4 drill centres",,120000.0,450.0,9.78,"ExxonMobil press release, FID on Liza oil development in Guyana (16 Jun 2017)",https://corporate.exxonmobil.com/news/news-releases/2017/0616_exxonmobil-makes-final-investment-decision-to-proceed-with-liza-oil-development-in-guyana,see quoted_text,"Phase 1 is expected to cost just over $4.4 billion, [including] a lease capitalization cost of approximately $1.2 billion for the FPSO facility ... Four drill centers are envisioned with a total of 17 wells, including eight production wells, six water injection wells and three gas injection wells ... designed to produce up to 120,000 barrels of oil per day ... approximately 190 kilometers offshore in water depths of 1,500 to 1,900 meters",2026-07-14,high,press_release,"Water depth stated as a 1,500-1,900 m RANGE; 1,700 m is the midpoint (a derivation, flagged). PR targeted 2020; startup Dec 2019.",True
Mad Dog Phase 2 (Argos),BP,US GOM - Green Canyon,USA,1372.0,2017,2023,9000.0,,"gross project cost at FID. REVISED DOWN from an original >$20bn concept estimate (then $14bn, then $9bn)",22,new_host_semi,"Argos semi-submersible FPU (140,000 boe/d)",,140000.0,,,"Offshore Technology project profile, Mad Dog Phase 2, Gulf of Mexico",https://www.offshore-technology.com/projects/mad-dog-phase-2-gulf-of-mexico/,see quoted_text,"Reduced the development cost to $14bn, which was further reduced to $9bn ... Initial development plans [had] spiralling costs that were estimated to be $22bn ... BP estimates a production capacity of 140,000boe a day from the new development ... Located in water depths of 1,370m to 2,200m in the Green Canyon area ... Development includes drilling 14 production wells and eight water injectors from five drill centres ... Commenced production in April 2023",2026-07-14,medium,secondary_operator_confirmed,"THE CANONICAL COST-REVISION CASE and the only one in this table with a documented revision: concept ~$20-22bn -> sanctioned $9bn (a ~60% reduction). bp.com 403s to fetchers, hence a secondary profile and medium confidence.",True
Tyra Redevelopment,TotalEnergies,Danish North Sea,Denmark,,2017,2024,,,DKK ONLY: 'TotalEnergies is investing 21 billion Danish kroner to redevelop the Tyra platforms'. No USD figure on the operator page.,,new_host_fixed,new process + accommodation platforms replacing existing; jackets extended 13 m,,60000.0,200.0,,TotalEnergies Denmark — Tyra Redevelopment project page,https://corporate.totalenergies.dk/total-denmark/better-energy-projects-denmark/tyra-redevelopment-tyra-gas-field-processing-90-nations-gas-production,see quoted_text,"'TotalEnergies is investing 21 billion Danish kroner to redevelop the Tyra platforms' / 'The two existing process and accommodation platforms will be replaced by one new process platform and one new accommodation platform' / 'Following completion in 2022, the new Tyra platform is expected to deliver approximately 60,000 barrels of oil equivalent (BOE) per day, equating to over 200 million BOE over the next 25 years'",2026-07-14,medium,press_release,"USD LEFT NULL (DKK only). BROWNFIELD redevelopment (subsidence-driven), not greenfield. Guided 2022, actual first gas March 2024 — ~2-year slip; trade press reported an outturn near DKK 27bn (not verbatim-sourced, so not recorded).",True
