PROJECT,STATEMENT_YEAR,COMPANY,ROLE,INTEREST_PCT,FIGURE_TYPE,VALUE_MM,CURRENCY,PROVENANCE,SOURCE_TITLE,SOURCE_URL,QUOTED_TEXT,ACCESSED_DATE,NOTES
Liza Phase 1,2017,ExxonMobil / Hess (joint FID),operator+partner,,gross_capex,4400,USD,partner_sec,Hess / Business Wire,https://www.businesswire.com/news/home/20170616005327/en/Hess-Takes-Final-Investment-Decision-Liza-Phase,"'Phase 1 is expected to cost more than $4.4 billion, which includes a lease capitalization cost of about $1.2 billion for the FPSO facility'",2026-07-15,Gross incl ~$1.2bn FPSO lease capitalization.
Liza Phase 1,2017,Hess,partner,30,net_share,955,USD,partner_sec,Hess / Business Wire,https://www.businesswire.com/news/home/20170616005327/en/Hess-Takes-Final-Investment-Decision-Liza-Phase,'Hess' net share of development costs is forecast to be approximately $955 million',2026-07-15,Net EXCLUDES FPSO lease element: $955/0.30 = $3.18bn ~= gross ex-FPSO $3.2bn.
Liza Phase 2,2019,Hess,partner,30,gross_capex,6000,USD,partner_sec,Hess,https://investors.hess.com/news-releases/news-release-details/hess-sanctions-liza-phase-2-development-offshore-guyana,"'gross capital cost of approximately $6 billion, including a lease capitalization cost of approximately $1.6 billion for the FPSO'",2026-07-15,
Liza Phase 2,2019,Hess,partner,30,net_share,1600,USD,partner_sec,Hess,https://investors.hess.com/news-releases/news-release-details/hess-sanctions-liza-phase-2-development-offshore-guyana,'Hess' net share of development costs is forecast to be approximately $1.6 billion',2026-07-15,
Payara,2020,ExxonMobil,operator,45,gross_capex,9000,USD,operator,ExxonMobil,https://corporate.exxonmobil.com/news/news-releases/2020/0930_exxonmobil-to-proceed-with-payara-development-offshore-guyana,'The $9 billion development will target an estimated resource base of about 600 million oil-equivalent barrels',2026-07-15,
Payara,2020,Hess,partner,30,net_share,1800,USD,partner_sec,Hess / Business Wire,https://www.businesswire.com/news/home/20200930006005/en/Hess-Sanctions-Payara-Development-Offshore-Guyana,'Hess' net share of development costs excluding pre-sanction costs and FPSO purchase cost is forecast to be approximately $1.8 billion',2026-07-15,Phasing disclosed: ~250/450/500/300/225 across 2021-2025.
Yellowtail,2022,ExxonMobil,operator,45,gross_capex,10000,USD,operator,ExxonMobil,https://corporate.exxonmobil.com/news/news-releases/2022/0404_exxonmobil-makes-final-investment-decision-on-fourth-guyana-offshore-project,'The $10 billion project will include six drill centers and up to 26 production and 25 injection wells',2026-07-15,
Yellowtail,2022,Hess,partner,30,net_share,2300,USD,partner_sec,Hess / Business Wire,https://www.businesswire.com/news/home/20220401005508/en/Hess-Sanctions-Yellowtail-Development-Offshore-Guyana,"'Hess' net share of development costs, excluding pre-sanction costs and FPSO purchase cost, is forecast to be approximately $2.3 billion'",2026-07-15,Exact reconciliation: $2.3bn/0.30 = $7.67bn ~= $10bn gross - $2.32bn FPSO ($7.68bn). Confirms Hess net EXCLUDES FPSO.
Anchor,2019,Chevron,operator,62.86,gross_capex,5700,USD,operator,Chevron (World Oil reprint),https://www.worldoil.com/news/2019/12/12/chevron-greenlights-its-anchor-20-000-psi-deepwater-project-in-the-gulf-of-mexico,'The initial development of the project will require an investment of approximately $5.7 billion.',2026-07-15,Interests verified 62.86 Chevron / 37.14 Total.
Ballymore,2022,Chevron,operator,60,gross_capex,1600,USD,operator,Chevron,https://www.chevron.com/newsroom/2022/q2/chevron-sanctions-ballymore-project-in-deepwater-us-gulf-of-mexico,'will require an investment of approximately $1.6 billion',2026-07-15,
Kaskida,2024,BP,operator,100,gross_capex,5000,USD,operator,JPT (SPE) reporting BP 2Q24 call,https://jpt.spe.org/bp-oks-20k-psi-kaskida-project-in-gulf-of-mexico,BP CEO: 'the Kaskida project would cost less than $5 billion',2026-07-15,Upper bound ('less than $5bn'); BP 100% at FID so gross = net.
Bacalhau Phase 1,2021,Equinor,operator,40,gross_capex,8000,USD,operator,Equinor,https://www.equinor.com/news/archive/20210601-final-investment-decision-bacalhau-phase1-brazil,'The investment is approximately 8 billion USD.',2026-07-15,
Sangomar Phase 1,2020,Woodside,operator,82,gross_capex,4200,USD,operator,Offshore Engineer,https://www.oedigital.com/news/476949-woodside-partners-in-talks-over-4-2b-sangomar-project-timing,"'Woodside, Partners in Talks over $4.2B Sangomar Project Timing'",2026-07-15,See cost_revision_trails.csv for the full $4.2->$5.0bn outturn trail.
Barossa,2021,Santos,operator,50,gross_capex,3600,USD,operator,Santos,https://www.santos.com/news/santos-announces-fid-on-the-barossa-gas-project-for-darwin-lng/,'a final investment decision (FID) has been taken to proceed with the US$3.6 billion gas and condensate project',2026-07-15,
Barossa,2021,SK E&S,partner,37.5,net_share,1400,USD,partner,Korea Herald,http://www.koreaherald.com/view.php?ud=20210330000633,'SK E&S said it will invest 1.6 trillion won ($1.4 billion) over the next five years to develop an Australian gas field',2026-07-15,Cross-check: 0.375 x $3.6bn = $1.35bn ~= $1.4bn stated.
Barossa,2021,JERA,partner,12.5,entry_price,300,USD,partner,Santos,https://www.santos.com/news/santos-agrees-sale-of-12-5-interest-in-barossa-project-to-jera/,'total consideration due to Santos at completion expected to be approximately US$300 million',2026-07-15,ENTRY price for the 12.5% interest — NOT a capex share; flagged so E5 does not treat it as net capex.
GranMorgu (Block 58),2024,TotalEnergies,operator,50,gross_capex,10500,USD,operator,TotalEnergies,https://totalenergies.com/news/press-releases/suriname-totalenergies-announces-final-investment-decision-granmorgu,'Total investment is estimated at around $10.5 billion and first oil is expected in 2028',2026-07-15,
