PROJECT,AWARD_YEAR,CONTRACTOR,ASSET_CLASS,SCOPE_DESC,VALUE_LOW_MM,VALUE_HIGH_MM,VALUE_BASIS,BAND_WORD,PROVENANCE,SOURCE_TITLE,SOURCE_URL,ACCESSED_DATE,NOTES
Liza Phase 1,2017,SBM Offshore,production_hub,"Liza Destiny FPSO — construct, install, lease & operate up to 10 yr",,,not_public,,operator,SBM Offshore / Offshore Energy,https://www.offshore-energy.biz/sbm-confirms-fpso-contract-award-for-liza-project/,2026-07-15,Award-day lease value never disclosed; ~$1.2bn lease capitalization appears in the FID cost (see statements).
Liza Phase 1,2024,SBM Offshore,production_hub,ExxonMobil purchase of FPSO Liza Destiny (ahead of max lease term),535,535,point,,operator,SBM Offshore / OE Digital,https://www.oedigital.com/news/520511-exxonmobil-concludes-535m-liza-destiny-fpso-buy-from-sbm-offshore,2026-07-15,Hard production_hub anchor: $535MM buyout.
Liza Phase 1,2017,TechnipFMC,sps,17 enhanced vertical deepwater trees + 5 manifolds + controls,,,not_public,,operator,TechnipFMC,https://www.technipfmc.com/en/investors/financial-news-releases/press-release/technipfmc-awarded-subsea-contract-for-exxonmobil-liza-in-guyana/,2026-07-15,Award predates TechnipFMC's banded-disclosure practice.
Liza Phase 1,2017,Saipem,surf,EPCI risers/flowlines/structures + T&I of umbilicals/manifolds (66 km as-built),,,not_public,,operator,Saipem,https://www.saipem.com/en/media/press-releases/2017-05-10/saipem-new-epci-contract-awarded-exxonmobil-development-offshore,2026-07-15,
Liza Phase 1,2017,Noble Corporation,drilling_rig,Noble Bob Douglas — 3-yr development drilling from 2018,,,not_public,,operator,Offshore Magazine,http://www.offshore-mag.com/articles/2017/08/noble-drillship-to-work-for-exxonmobil-offshore-guyana.html,2026-07-15,
Liza Phase 2,2019,SBM Offshore,production_hub,"Liza Unity FPSO (first Fast4Ward) — construct, install, lease; $1.14bn project financing",,,not_public,,operator,SBM Offshore,https://www.sbmoffshore.com/newsroom/press-releases/2019/10-05-2019/sbm-offshore-awarded-contracts-exxonmobil-fpso-liza-unity,2026-07-15,
Liza Phase 2,2023,SBM Offshore,production_hub,ExxonMobil purchase of FPSO Liza Unity (Nov 2023),1260,1260,point,,operator,SBM Offshore,https://www.sbmoffshore.com/newsroom/fpso-liza-unity-purchase-exxonmobil-completed/,2026-07-15,
Liza Phase 2,2018,TechnipFMC,sps,30 EVDT trees + 8 manifolds + controls,,,not_public,,operator,TechnipFMC / Business Wire,https://www.businesswire.com/news/home/20181022005773/en/TechnipFMC-Awarded-Subsea-Contract-ExxonMobil-Liza-Phase,2026-07-15,
Liza Phase 2,2018,Saipem,surf,"SURF EPCI (flowlines, risers, umbilical install)",700,700,point,,operator,Saipem,https://www.saipem.com/en/media/press-releases/2018-08-21/saipem-awarded-surf-contracts-liza-phase-2-development-exxonmobil,2026-07-15,'The overall value of the Saipem contracts for Liza Phase 2 is approximately 700 million USD'
Liza Phase 2,2020,Noble Corporation,drilling_rig,"Drilling services agreement, 4 drillships, market-based dayrates reset 2x/yr; pooled campaign",,,not_public,,operator,Noble / PR Newswire,https://www.prnewswire.com/news-releases/noble-corporation-plc-announces-drilling-services-agreement-with-exxonmobil-in-the-guyana-suriname-basin-301003226.html,2026-07-15,Campaign pooled across Liza2/Payara/Yellowtail — not project-attributable.
Payara,2020,SBM Offshore,production_hub,"Prosperity FPSO — construct, install, lease; ~$0.98bn financing",,,not_public,,operator,SBM Offshore,https://www.sbmoffshore.com/newsroom/sbm-offshore-awarded-contracts-exxonmobil-fpso-prosperity/,2026-07-15,
Payara,2024,SBM Offshore,production_hub,ExxonMobil purchase of FPSO Prosperity (Nov 2024),1230,1230,point,,operator,SBM Offshore / World Oil,https://worldoil.com/news/2024/11/7/exxonmobil-guyana-sbm-offshore-complete-purchase-of-fpso-prosperity/,2026-07-15,
Payara,2020,TechnipFMC,sps,41 EVDT trees + 10 manifolds + 6 flexible risers + controls,500,1000,band,large,operator,TechnipFMC / OE Digital,https://www.oedigital.com/news/482115-technipfmc-nets-large-subsea-order-from-exxon-for-payara-development-in-guyana,2026-07-15,TechnipFMC 'large' = $500m-$1bn (publisher-verified).
Payara,2019,Saipem,surf,EPCI ~130 km flowlines/risers/manifolds/flex/umbilicals,,880,combined,,operator,Saipem,https://www.saipem.com/en/media/press-releases/2019-11-14/saipem-new-subsea-contract-guyana-and-variation-orders-ongoing,2026-07-15,~$880MM COMBINED with variation orders on other projects; Payara-only split not published — upper bound only.
Payara,2020,Halliburton,other,Drilling & completions services,,,not_public,,operator,Offshore Technology,https://www.offshore-technology.com/news/exxonmobil-technipfmc-halliburton-payara/,2026-07-15,
Payara,2022,Noble Corporation,drilling_rig,"CEA — 4 drillships pooled; dayrates low-to-high $400k/day, biannual reset",,,not_public,,operator,Noble 8-K / Kaieteur News,https://kaieteurnewsonline.com/2026/04/29/exxon-awards-new-rig-contract-to-noble-at-us375000-day-rate/,2026-07-15,Fleet dayrate color ~$375-400k/day is a day-rate datum for the time-series.
Yellowtail,2022,SBM Offshore,production_hub,ONE GUYANA FPSO (250 kbopd); $1.75bn financing Jul 2022,,,not_public,,operator,SBM Offshore,https://www.sbmoffshore.com/newsroom/press-releases/2022/21-07-2022/sbm-offshore-completes-us175-billion-financing-one-guyana,2026-07-15,
Yellowtail,2026,SBM Offshore,production_hub,ExxonMobil purchase of FPSO ONE GUYANA (Feb 2026),2320,2320,point,,operator,SBM Offshore / GlobeNewswire,https://www.globenewswire.com/news-release/2026/02/04/3232326/0/en/FPSO-ONE-GUYANA-Purchase-by-ExxonMobil-Guyana-Completed.html,2026-07-15,Largest single Guyana FPSO buyout: $2.32bn.
Yellowtail,2021,TechnipFMC,sps,51 EVDT trees + 12 manifolds + controls,500,1000,band,large,operator,TechnipFMC / Upstream,https://www.upstreamonline.com/field-development/exxonmobil-hands-out-big-subsea-hardware-contract-for-guyanas-yellowtail-project/2-1-1098871,2026-07-15,
Yellowtail,2022,TechnipFMC,sps,6 HPHT flexible risers,75,250,band,significant,operator,TechnipFMC / OE Digital,https://www.oedigital.com/news/496219-technipfmc-gets-notice-to-proceed-wins-more-work-at-exxon-s-yellowtail-project-offshore-guyana,2026-07-15,
Yellowtail,2022,Saipem,surf,"SURF EPCI ~1,800 m WD",,1100,combined,,operator,Saipem,https://www.saipem.com/en/media/press-releases/2022-01-11/saipem-awarded-two-new-offshore-contracts-australia-and-guyana,2026-07-15,~$1.1bn COMBINED with Scarborough (Australia); split not published — upper bound only.
Yellowtail,2022,Noble Corporation,drilling_rig,CEA pooled; extensions to 2029 within $1.3bn multi-region backlog adds,,,not_public,,operator,Noble / OilNOW,https://oilnow.gy/news/guyana-rigs-extended-to-2029-as-noble-secures-us1-3b-in-new-contracts/,2026-07-15,
Anchor,2019,Daewoo Shipbuilding (DSME),production_hub,"Semi FPU hull build (22,000 t, Okpo)",,,not_public,,operator,OE Digital,https://www.oedigital.com/news/473766-chevron-hits-go-on-anchor,2026-07-15,
Anchor,2019,Kiewit Offshore,production_hub,FPU topsides fabrication + integration (Ingleside TX),,,not_public,,operator,OE Digital,https://www.oedigital.com/news/473766-chevron-hits-go-on-anchor,2026-07-15,
Anchor,2019,OneSubsea (SLB),sps,Industry-first integrated 20k-psi SPS under 20-yr Chevron MSA,,,not_public,,operator,World Oil,https://www.worldoil.com/news/2019/12/12/chevron-awards-onesubsea-industry-s-first-fully-integrated-20-000-psi-production-system,2026-07-15,"Premise correction: Anchor SPS = OneSubsea, NOT TechnipFMC."
Anchor,2020,Subsea 7,surf,"SURF EPCI (flowlines, risers, umbilical install, jumpers)",,,not_public,,operator,Subsea 7 / GlobeNewswire,https://www.globenewswire.com/news-release/2020/04/14/2015348/0/en/Subsea-7-awarded-contract-offshore-US-Gulf-of-Mexico.html,2026-07-15,Release atypically used NO Subsea7 band word.
Anchor,2020,Aker Solutions,surf,~24 km 20k-psi dynamic steel-tube + power umbilicals (20-yr Chevron master),,,not_public,,operator,Aker Solutions,https://www.akersolutions.com/news/news-archive/2020/aker-solutions-wins-20-year-umbilicals-master-order-with-chevron/,2026-07-15,
Anchor,2018,Transocean,drilling_rig,"Deepwater Titan — 5-yr (first 20k floater, dual 20k BOPs, ~$455k/day implied)",830,830,backlog,,operator,Transocean,https://www.deepwater.com/news/detail?ID=23251,2026-07-15,$830MM backlog (excl mob); the only Anchor award with a public value.
Anchor,2021,Boskalis,installation,Heavy transport of FPU hull Okpo->Ingleside (BOKA Vanguard),,,not_public,,operator,Chevron newsroom,https://www.chevron.com/newsroom/2023/q2/offshore-project-to-help-meet-energy-demand,2026-07-15,
Anchor,2020,Oceaneering,other,First 20k-psi hydraulic junction plates + IFLs (20-yr GoM MSA),,,not_public,,operator,OE Digital,https://www.oedigital.com/news/484071-industry-s-first-oceaneering-s-20-000-psi-equipment-for-chevron-s-anchor-project,2026-07-15,
Ballymore,2022,Subsea 7,installation,"SCR + flowline + control system install, 3-well tieback to Blind Faith",50,150,band,sizeable,operator,Subsea 7 / GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/01/2454567/0/en/Subsea-7-awarded-contract-offshore-Gulf-of-Mexico.html,2026-07-15,Subsea7 'sizeable' = $50-150MM (publisher-verified).
Ballymore,2021,Worley,production_hub,Blind Faith brownfield modifications (eng + procurement),,,not_public,,operator,Offshore Technology,https://www.offshore-technology.com/projects/ballymore-oil-and-gas-field-gulf-of-mexico-usa/,2026-07-15,
Ballymore,2022,Expro,other,3-yr in-riser 15k ball-valve completion/intervention system,15,15,point,,operator,JPT (SPE),https://jpt.spe.org/expro-scoops-ballymore-valve-contract,2026-07-15,'valued at over $15 million' — the only exact Ballymore award value.
Kaskida,2024,Seatrium,production_hub,"FPU EPC (4-column semi + single topside module, 80 kbopd)",,,not_public,,operator,Seatrium SGX / World Oil,https://worldoil.com/news/2024/12/24/seatrium-awarded-fpu-contract-for-bp-s-kaskida-development-in-gulf-of-mexico/,2026-07-15,
Kaskida,2024,TechnipFMC,sps,Integrated iEPCI: 20k trees + manifolds AND umbilicals/risers/flowlines (single contract),250,500,band,substantial,operator,TechnipFMC,https://www.technipfmc.com/media/u51ngpkc/tfmc-kaskida-award-press-release.pdf,2026-07-15,TechnipFMC 'substantial' = $250-500MM; spans SPS+SURF — do not double-count with a separate SURF row.
Kaskida,2025,SBM Offshore,installation,Wet tow + offshore installation of FPU,,,not_public,,operator,OE Digital,https://www.oedigital.com/news/525202-bp-hires-sbm-offshore-to-install-kaskida-fpu-in-gulf-of-america,2026-07-15,
Kaskida,2024,Transocean,drilling_rig,Deepwater Atlas — 365-day from Q2 2028 + option (~$635k/day implied),232,232,backlog,,operator,Transocean,https://www.deepwater.com/news/detail?ID=28871,2026-07-15,$232MM backlog. (Deepwater Invictus $531MM is a separate BP GoM fixture with UNCONFIRMED Kaskida attribution — excluded.)
Kaskida,2024,Enbridge,other,Canyon Oil Pipeline + Gathering System (Enbridge builds/owns/operates),700,700,midstream,,operator,Enbridge,https://www.enbridge.com/media-center/news/details?id=123829&lang=en,2026-07-15,$700MM Enbridge midstream investment — OUTSIDE BP's project capex; flagged so E5 does not sum it into coverage.
Whale,2019,Sembcorp Marine (Seatrium),production_hub,"EPC topsides + hull (~25,000 t, replicates Vito; delivered Oct 2023)",,,not_public,,operator,Offshore Energy,https://www.offshore-energy.biz/sembcorp-marine-to-build-fpu-for-shells-whale-field-in-gulf-of-mexico/,2026-07-15,
Whale,2021,McDermott,surf,"EPCIC ~50 km pipeline + 15 km umbilicals, 5 drill centers",,,not_public,,operator,McDermott / PR Newswire,https://www.prnewswire.com/news-releases/mcdermott-completes-epcic-project-in-gulf-of-mexico-302392063.html,2026-07-15,"Premise correction: Whale SURF = McDermott, NOT Subsea7."
Whale,2023,Boskalis,installation,"Dry tow of 25,000 t FPU (Singapore->Ingleside) + wet tow",,,not_public,,operator,Offshore Energy,https://www.offshore-energy.biz/shells-new-gulf-of-mexico-platform-arrives-on-boskalis-giant-heavy-transport-vessel/,2026-07-15,
