source_award_key,locator_json,locator_sha256,source_row_sha256,active
src-awd-e96355a9d0e54336b8e88d992ece95f7,"{""ASSET_CLASS"":""production_hub"",""AWARD_YEAR"":""2017"",""CONTRACTOR"":""SBM Offshore"",""PROJECT"":""Liza Phase 1"",""SCOPE_DESC"":""Liza Destiny FPSO — construct, install, lease & operate up to 10 yr""}",cec641aa3566ac90b0cc8d040bbd005755486ddba8f218b71211681875170d32,9c18cb67b06a062d583cfd9f9aaa7c126f56b3fa82dfb8f8480cc8426c71ed5a,true
src-awd-6cf7afc46699407390dd8a94b5ddac85,"{""ASSET_CLASS"":""production_hub"",""AWARD_YEAR"":""2024"",""CONTRACTOR"":""SBM Offshore"",""PROJECT"":""Liza Phase 1"",""SCOPE_DESC"":""ExxonMobil purchase of FPSO Liza Destiny (ahead of max lease term)""}",7b7e2e34dd88edc4933c02e81d272b4a77b7c2212be8db3f48fff9b7aa567458,5bfdefeb0b745f4aad59b4d4916c903b4bc3ec5798e2a053540e80b2092b8fcb,true
src-awd-fb9ea9a07cf7418b862f8d2a4188e37d,"{""ASSET_CLASS"":""sps"",""AWARD_YEAR"":""2017"",""CONTRACTOR"":""TechnipFMC"",""PROJECT"":""Liza Phase 1"",""SCOPE_DESC"":""17 enhanced vertical deepwater trees + 5 manifolds + controls""}",93e073d4559dbd1b5ef4842cabdca409268461744a69b9bcb4606b91a45244d1,d506d950ce1d868af45f10a4519a9a153309854025ab76d9fb26fd0e5e917234,true
src-awd-8bdbf6c093eb4f12ae4795003e8b97ab,"{""ASSET_CLASS"":""surf"",""AWARD_YEAR"":""2017"",""CONTRACTOR"":""Saipem"",""PROJECT"":""Liza Phase 1"",""SCOPE_DESC"":""EPCI risers/flowlines/structures + T&I of umbilicals/manifolds (66 km as-built)""}",8c382215c90cb13fbf4ef55f89925479907453fa9e3f83491c9dbb882e6d8166,389bf623f40d25526f5d9480587461d64c106a067ebc8372b3cc59522faaa9d8,true
src-awd-218d83ebda34481da73b842ad2cfb8a8,"{""ASSET_CLASS"":""drilling_rig"",""AWARD_YEAR"":""2017"",""CONTRACTOR"":""Noble Corporation"",""PROJECT"":""Liza Phase 1"",""SCOPE_DESC"":""Noble Bob Douglas — 3-yr development drilling from 2018""}",fd091136e5be66fc91af440627ec9324fec91b2665206a55dda63e4919ecd353,7b952671797129cf49bc480f36fd5129edeeef7201b37aa37d5c969d4004fc17,true
src-awd-e5609903c7ce41a5845213a5b32230e3,"{""ASSET_CLASS"":""production_hub"",""AWARD_YEAR"":""2019"",""CONTRACTOR"":""SBM Offshore"",""PROJECT"":""Liza Phase 2"",""SCOPE_DESC"":""Liza Unity FPSO (first Fast4Ward) — construct, install, lease; $1.14bn project financing""}",4c25d22d96891de50b20d89dd428525f303763961282aeeb5c319e0750320c1f,37c12a25911c0a224d4229813182b3858b3199e0a36c369e489f2340d350cd14,true
src-awd-c282fc9f499c437dab3c751bfb318c4d,"{""ASSET_CLASS"":""production_hub"",""AWARD_YEAR"":""2023"",""CONTRACTOR"":""SBM Offshore"",""PROJECT"":""Liza Phase 2"",""SCOPE_DESC"":""ExxonMobil purchase of FPSO Liza Unity (Nov 2023)""}",33dca3e5075a9afd0a8e66311f092268b9dbc47da3a51de32e2a32394d62fe05,fd0bb525d30b0633265dae779161fd9ba2faa028118524dc3bef72da6e285de8,true
src-awd-f9d800cb0e154b8b889361978efeb517,"{""ASSET_CLASS"":""sps"",""AWARD_YEAR"":""2018"",""CONTRACTOR"":""TechnipFMC"",""PROJECT"":""Liza Phase 2"",""SCOPE_DESC"":""30 EVDT trees + 8 manifolds + controls""}",8ed622fee003d2b16c7afadf318846ed7f17867e4a638e243e1f5b82db95fe16,2a0800d6daf2842ebaf1d1d9df695f42d19e3ee53681cfa2b7c2f481f4d0eb23,true
src-awd-64d70980b91a402daebf3933c31bf725,"{""ASSET_CLASS"":""surf"",""AWARD_YEAR"":""2018"",""CONTRACTOR"":""Saipem"",""PROJECT"":""Liza Phase 2"",""SCOPE_DESC"":""SURF EPCI (flowlines, risers, umbilical install)""}",1f441a035e384b03ab197e15df97a76d381e5a8ae7714cd882a595810ac6c8ed,8fd54124112ebd2e84822742c092c1f64284b8b043db2e7b74e2799eb17f68b6,true
src-awd-bee6cd14a5fa48dab9c988b66b13298d,"{""ASSET_CLASS"":""drilling_rig"",""AWARD_YEAR"":""2020"",""CONTRACTOR"":""Noble Corporation"",""PROJECT"":""Liza Phase 2"",""SCOPE_DESC"":""Drilling services agreement, 4 drillships, market-based dayrates reset 2x/yr; pooled campaign""}",6da3d1f493f172171accae8eb2162b81b051c7a4e45f38237eeda8da8eb21835,73c7f75e6d41febbf8eb2f454a98aeae089ce8c9462492e901baa6ef36a1f755,true
