project_id,source_project_key,display_label,state,active,aliases_json,validation_group_id,created_source_sha256,migration_note,no_reuse
prj-561cad1b0cf04adea6b239d23b0af815,src-prj-7013c959eb214fc5b0b0ad83caafbf7f,Agogo Integrated West Hub,active,true,[],vg-prj-79fcfc43bd524b99b30aad49fa25bf11,c0ab349c41e5a79446b40c4a189a023c1d30877dd3b7d2de4b87d7113a10a678,,true
prj-c345e3ab4f80472d86309a35f27be8fb,src-prj-40ad990b0e6745b4aec7b3f5887f6479,Anchor,active,true,[],vg-prj-4657f60ea00b486c99968fa464e0c397,290de42e890fd7a21a86a77f35e5993a1a23a6740f11fd0a953be819b208f7c5,,true
prj-ef9cf6f530c642369b7bc3f803cce5c7,src-prj-ff8c9141904d4c978c5dde1a23645296,Appomattox,active,true,[],vg-prj-3443e8ec030646299428e3eb330076d2,ed50bd3b06cf794f5664698d67f2da24346d52ee6746353e5abaec361d89b031,,true
prj-2c531329f8d144aeb782d2e3abf692ac,src-prj-93816b21e6fa4a65999f1aa3fa9792b7,Atlanta Full Field (Definitive System),active,true,[],vg-prj-9825926a616d4842acedef2d57228951,fe8ae922ce471a17ddaa7ea7a41e66d9131345c3db25be4b43a1429696c63a71,,true
prj-f493d3e7f70e4effa51544441e4dcfc7,src-prj-6d4e4eafa37447ba84c0b9c5abc6b610,Atlantis (Phase 1),active,true,[],vg-prj-04decf5ce0ec4b7c8a881c7558a76ddc,cb0a33d40d77099c43cbc9a05e17d408ca2387848bdc37f68824acd3fb2d4e26,,true
prj-121a1586b52a482287a09647f4430ac1,src-prj-107b37296c6448ccb71a428c83df7899,Atlantis Phase 3,active,true,[],vg-prj-2131ac46caef41278ab96f5605e9e001,73a9da5ef598229cb1862958e370e8ff916a7038794721b5fca72516f07cb674,,true
prj-897bbecfad374ef48edc6898dcbc0e31,src-prj-4eee0ba3f9d2415e8e3eac293432b64c,Azeri Central East (ACG),active,true,[],vg-prj-9841fe35a7d54f5aa0721aa5c0bff57e,1dceb8dee0142d8a9829b00c935b446246fd011f2859ffcbb69a3bd8f8dd6049,,true
prj-57980f4e8f864a44a0d6e637f4d2e387,src-prj-8c140c00420b45aaa1076e885a14291e,BM-C-33 (Raia Manta/Raia Pintada),active,true,[],vg-prj-f72d243b1e2144e4b432f5428f017684,d9ecc3bbeb33ec4cb9310e043f9b1f516724f31c32680f3989fae36ec20e47c2,,true
prj-9f998fc820d8432ea475483e3605e460,src-prj-f5eec71dcde742a39972bd2b1c429b1d,Bacalhau Phase 1,active,true,[],vg-prj-c0d019a8098d483e8b10597743f47e12,9734d9a2c6b4d7be26af217d8116b6b8dfd10995da6c54f450c797c3c2541517,,true
prj-47ac93a1f175471eb5fbeac055241c00,src-prj-7660745b1c22432b8f3ccf4870c9679f,Balder X / Balder Future,active,true,[],vg-prj-6578df76af7645689d155872726e4dbe,405ab8871dda18a040907e33671d26fa1908d11e386a267050b0fd0207e93dda,,true
prj-baa4c54f95e14cedb62c6a8a9c0c50da,src-prj-480875bd7003451c95e97db889094bea,Baleine (Phases 1-3 programme),active,true,[],vg-prj-47e72000c1d34727a4dea7bfd7e95246,1a6ff3f6f9445eb11ee26db0ba5da426e2da984d99863ebc42a7b48e61eba80f,,true
prj-1004d59b5b434b18889ff7c6602866d5,src-prj-617d1deccdef4e699ad8a0e12f8081cc,Ballymore,active,true,[],vg-prj-4a29a035da5c4c37b444bd247aa81a1c,852655e3ce16b8583aa7b6839f5459aa00d173f8d0ef17c546f38b017fa7bec1,,true
prj-a441127d18fe4199bb221ce294b92d1a,src-prj-856409bef3774734b8605d2c74c6086d,Barossa,active,true,[],vg-prj-29399579c79645d6a222107d27e62aee,02eb3a8d423711355e9894217e43152aa1e2d167171ebb5552c9718b2170d41c,,true
