SN_EOR_FK,SN_EOR_WELL_COMP,INTERVAL,COMP_LEASE_NUMBER,COMP_AREA_CODE,COMP_BLOCK_NUMBER,COMP_STATUS_CD
-116603,-15655,S1,G15282,SS,  151,PGW
-116978,-15667,S3,G02137,SP,   60,PGW
-117455,-15679,S3,G00983,EI,  252,POW
-117443,-15709,S1,G05825,MC,  109,POW
-116989,-15724,S1,G33175,MC,  751,GSI
-118320,-15734,S3,G10487,LL,    2,PGW
-129169,-18776,S2,G24130,MC,  942,POW
-129552,-18781,S1,G02118,EI,  338,POW
-130105,-18784,D2,G03818,MC,  280,GLO
-129964,-18785,S2,G01372,BS,   55,PGW
-129817,-18786,S1, 00385,WD,   29,POW
-130064,-18833,S2,G27632,GB,  258,POW
-130045,-18835,S3, 00375,MP,   42,OSI
-129858,-18837,S1,G01205,SM,   73,GLO
-121230,-18843,D3, 00134,GI,   48,GSI
-130264,-18845,S2,G10638,EC,  328,GLO
-130093,-18847,S1,G10638,EC,  328,GLO
-129521,-18865,S2,G02111,EI,  314,POW
-128779,-18861,S2,G21801,GC,  518,OSI
-127877,-18863,S1,G27173,GI,   54,POW
-130546,-18873,D3,G14205,EB,  602,GLO
-140453,-20964,S1, 00384,WD,   28,POW
-117006,-15526,S3,G01870,ST,   26,POW
-115172,-15530,S1,G20085,GC,  654,WIW
-116987,-15533,S3, 00385,WD,   29,POW
-117564,-15541,S1,G24872,SM,  102,GSI
-117223,-15608,S1,G02819,WC,   35,OSI
-117557,-15620,D4,G15805,HI,A 264,GSI
-117557,-15621,D5,G15805,HI,A 264,GSI
-117735,-15644,S5,G02433,HI,A 368,PGW
-117667,-15659,S4,G02757,HI,A 382,PGW
-117931,-15661,S3,G26001,SM,   79,PGW
-118041,-15669,S3,G04832,MP,  108,PGW
-117923,-15671,S2, 00390,GI,   26,GSI
-117926,-15673,S2, 00390,GI,   26,PGW
-115898,-15729,S3,G01608,SP,   60,POW
-117594,-15742,S3,G01619,SP,   93,POW
-125005,-17725,S4,G15356,GI,   82,GSI
-121939,-17726,S1, 00384,WD,   28,GLO
-125284,-17793,S1,G01757,BA,A 105,PGW
-121711,-17802,S1,G04127,MP,  313,POW
-123825,-17806,S4,G01449,WD,   80,GLO
-125828,-17813,S2,G02647,EB,  160,GSI
-121727,-17827,S1,G01083,WD,   73,POW
-122671,-17832,S1,G01228,SS,  208,POW
-125293,-17843,S2,G00983,EI,  252,PGW
-125619,-17876,S2,G19931,MC,  243,GIW
-125329,-17879,S3, 00778,SM,   23,PGW
-125564,-17902,S2, 00050,EI,  120,GLO
-125378,-17919,S1,G26664,GB,  506,OSI
-123813,-17949,S1,G01084,WD,   74,POW
-115642,-15031,S3,G20616,BA,  504,GSI
-115843,-15091,S2,G02445,VK,  900,POW
-115905,-15144,S1,G05825,MC,  109,POW
-116534,-15157,S6, 00577,EI,  208,GLO
-115506,-15172,S1,G33596,VR,  170,GSI
-116378,-15176,S2, 00034,GI,   23,PGW
-116683,-15178,S3, 00577,EI,  208,POW
-116818,-15192,S3,G22587,EC,  194,PGW
-125285,-18109,S1,G07995,GC,  158,OSI
-123623,-18112,S1,G16493,MP,   61,POW
-126942,-18113,S1,G19931,MC,  243,POW
-122651,-18120,S1,G20085,GC,  654,WIW
-126643,-18122,S3, 00081,WC,  110,PGW
-126661,-18146,S2, 00069,SS,  119,PGW
-125176,-18154,S4,G01294,SP,   62,POW
-126501,-18162,S1, 00796,EI,  100,OSI
-126148,-18168,S1,G32265,MP,  308,POW
-124527,-18172,S1,G01673,MP,  296,POW
-126481,-18174,S1,G32207,SS,  290,PGW
-125767,-18175,S1, 00831,SS,  230,GLO
-125960,-18177,S1,G15565,GC,  248,OSI
-125808,-18194,S1,G08010,GC,  298,PGW
-127186,-18217,S6,G06166,HI,  194,PGW
-124193,-18230,S2,G23979,MP,  200,GSI
-119490,-18231,S1,G08461,MP,   59,PGW
-127107,-18239,S1,G01260,ST,  177,POW
-124350,-18237,S2,G01187,SM,   27,PGW
-127382,-18245,D1,G32113,WC,  266,PGW
-127148,-18259,S1,G02111,EI,  314,OSI
-127146,-18260,S2,G04464,ST,  200,PGW
-127757,-18271,S4, 00180,WD,   68,PGW
-124765,-18324,S1,G02115,EI,  330,PGW
-126179,-17987,S5,G03998,SS,  182,PGW
-125956,-18084,D3,G03338,MP,   44,OSI
-125220,-18136,S1,G16493,MP,   61,POW
-127169,-18139,S1, 00031,GI,   22,PGW
-126641,-18147,S1,G32265,MP,  308,POW
-121333,-18148,S1,G32265,MP,  308,POW
-123094,-18149,S1,G32265,MP,  308,POW
-120482,-18151,S1,G32265,MP,  308,POW
-126281,-18152,S1,G12136,EW,  873,GLO
-123956,-18161,S1, 00374,MP,   41,PGW
-126229,-18170,S2,G01294,SP,   62,POW
-125895,-18399,D3,G02184,SP,   77,POW
-116694,-15276,S4,G03021,MU,  762,PGW
-116024,-15278,S2,G05504,EI,  224,GSI
-115767,-15287,S1,G03088,MI,  623,GSI
-116647,-15305,S3,G02549,WC,  507,PGW
-116783,-15311,S2,G27918,EI,  311,PGW
-117225,-15313,S2,G22582,EC,  121,POW
-116091,-15330,S2,G05911,GC,  205,POW
-116722,-15341,S2, 00205,VR,   38,GSI
-116249,-15347,S1,G17565,AC,  857,OSI
-116822,-15353,S1,G18245,MC,  460,POW
-116535,-15388,S3, 00066,SS,  112,OSI
-116976,-15400,S4,G02601,EI,   57,PGW
-115985,-15403,S3,G01620,SP,   94,PGW
-116644,-15414,S1,G01248,ST,  161,PGW
-117248,-15440,S2,G09546,SM,  146,PGW
-117066,-15441,S1,G01248,ST,  161,POW
-116185,-15444,S2, 00375,MP,   42,POW
-127940,-18336,S2,G01205,SM,   73,PGW
-128120,-18373,S1,G27632,GB,  258,POW
-124566,-18407,S1,G27277,MC,  503,POW
-128116,-18413,S2,G26146,MP,   19,PGW
-126547,-18414,D5,G10942,VK,  823,GSI
-128117,-18417,S8,G26146,MP,   19,PGW
-126363,-18419,S2,G10942,VK,  823,PGW
-127937,-18423,D1, 00031,GI,   22,GLO
-127937,-18424,D2, 00031,GI,   22,GLO
-125769,-18425,D1,G12951,SS,  227,GSI
-125769,-18426,D2,G12951,SS,  227,GSI
-128759,-18434,S1,G16493,MP,   61,POW
-127720,-18436,S4, 00066,SS,  112,PGW
-128450,-18438,S7, 00060,SS,   72,GLO
-128259,-18445,S3, 00031,GI,   22,GLO
-128280,-18488,S2,G20660,HI,  206,GSI
-128696,-18512,S1, 00369,BM,    2,POW
-128028,-18516,S4, 00049,EI,  119,POW
-118596,-18521,S1,G13944,GI,  116,PGW
-127727,-18522,S4, 00034,GI,   23,POW
-128308,-18524,S4,G02062,EC,  334,OSI
-127887,-18557,S5, 00367,WD,   32,OSI
-128842,-18618,S4,G12355,SS,  198,GSI
-129409,-18670,D1,G03417,MP,   72,GLO
-129304,-18671,D8,G01083,WD,   73,GLO
-129691,-18708,S3,G15212,VR,  408,PGW
-126816,-18731,S1,G23736,WC,   73,GSI
-128307,-18409,S5,G07917,EW,  306,GLO
-127566,-18455,S2,G25579,HI,  130,PGW
-128142,-18458,S2, 00060,SS,   72,OSI
-125407,-18466,S2,G09529,VR,  398,OSI
-128300,-18477,D1, 00031,GI,   22,GLO
-125547,-18738,S2,G10944,VK,  830,POW
-127618,-18739,S1,G33112,PL,   18,GSI
-129448,-18742,S3,G02177,SP,   49,PGW
-129534,-18754,S3, 00375,MP,   42,POW
-127459,-18770,S1,G01023,SS,  224,GLO
-123755,-18798,S1,G16970,WR,  250,POW
-130047,-18816,S2,G15050,WC,   33,GSI
-130118,-18822,S1,G05825,MC,  109,GLO
-129288,-18826,S1,G02111,EI,  314,POW
-128331,-18840,S2,G09529,VR,  398,PGW
-117089,-15450,D6, 00081,WC,  110,PGW
-117188,-15472,S5, 00206,VR,   39,PGW
-116573,-15473,S1,G09010,BA,  375,PGW
-116090,-15539,S4,G01608,SP,   60,GLO
-117193,-15593,S2,G15769,HI,   37,GSI
-117730,-15606,S5, 00577,EI,  208,POW
-107564,-15611,S1,G01497,WD,   95,GLO
-117398,-15612,S1,G33407,GA,A 133,PGW
-117108,-15630,S2, 00385,WD,   29,POW
-127528,-18325,S2,G27632,GB,  258,POW
-127111,-18339,S1, 00050,EI,  120,GSI
-111659,-13329,S2,G04548,MI,  685,PGW
-115628,-15548,S2,G02137,SP,   60,PGW
-116871,-15551,S2,G14535,PL,   25,POW
-117849,-15553,S4,G02601,EI,   57,PGW
-117283,-15561,S2,G24479,GB,  302,POW
-116097,-15577,S2, 00353,SP,   28,POW
