SN_APD,API_WELL_NUMBER,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NAME,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,WATER_DEPTH,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,WELL_TYPE_CODE,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BOTM_LEASE_NUMBER,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT
-14404,177104166200,78,,C019,0,0,307,Revised New Well,133,H,11/15/2013,N,D,700.0,24.0,EI,360,G02323,,1891596.098622,-199709.035389,28.11713056,-91.66945556,3249,E,5647,N,EI,360,G02323,,R,5987.0,G02323,EI,  360,C-19,R,5987.0,G02323,EI,  360,C-19,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,4/4/2014 10:53:04 AM,4/4/2014 11:10:17 AM
-14334,177104119201,78,2145.0,C014,0,1,307,Revised Sidetrack,131,H,12/15/2013,N,D,704.0,24.0,EI,360,G02323,,1891593.873429,-199697.985684,28.11716092,-91.66946256,3251,E,5636,N,EI,360,G02323,,R,6017.0,G02323,EI,  360,C014ST01,R,6017.0,G02323,EI,  360,C014ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,3/19/2014 1:02:21 PM,3/27/2014 3:11:02 PM
-14320,177104166200,78,,C019,0,0,307,Revised New Well,133,H,11/15/2013,N,D,700.0,24.0,EI,360,G02323,,1891596.098622,-199709.035389,28.11713056,-91.66945556,3249,E,5647,N,EI,360,G02323,,R,5987.0,G02323,EI,  360,C-19,R,5987.0,G02323,EI,  360,C-19,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,3/18/2014 6:51:25 AM,3/18/2014 1:40:43 PM
-14271,177244032201,78,3650.0,DA002,0,1,217,Sidetrack,146,H,2/1/2015,N,D,519.0,26.0,MP,299,G01316,,2824604.001056,225248.004471,29.26048349,-88.74721674,386,E,8582,N,MP,298,G01315,,R,6152.0,G01316,MP,  299,DA002ST0,R,6152.0,G01315,MP,  298,DA002ST0,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/11/2014 8:39:59 AM,1/27/2015 4:13:59 PM
-14188,177244037004,78,2350.0,AA001,0,2,205,Sidetrack,135,H,7/3/2014,N,D,548.0,26.0,MP,299,G01316,,2822986.001243,233406.006592,29.28301257,-88.75171306,2004,E,424,N,MP,299,G01316,,R,6079.0,G01316,MP,  299,AA1ST02,R,6079.0,G01316,MP,  299,AA1ST02,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,5/13/2014 2:51:38 PM,7/22/2014 5:14:18 PM
-14167,177104166700,78,,C018,0,0,307,Revised New Well,133,H,2/4/2014,N,D,718.0,24.0,EI,360,G02323,,1891583.681098,-199697.17738,28.11716306,-91.66949417,3261,E,5635,N,EI,360,G02323,,S,1567.0,G02323,EI,  360,O,S,1567.0,G02323,EI,  360,O,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,2/11/2014 3:26:49 PM,2/12/2014 9:13:16 AM
-14131,177104166700,78,,C018,0,0,307,New Well,100,H,2/4/2014,N,D,650.0,24.0,EI,360,G02323,,1891583.681098,-199697.17738,28.11716306,-91.66949417,3261,E,5635,N,EI,360,G02323,,S,1567.0,G02323,EI,  360,O,S,1567.0,G02323,EI,  360,O,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,1/31/2014 10:34:45 AM,2/4/2014 2:58:24 PM
-13889,177104110002,78,4845.0,C001,0,2,307,Sidetrack,131,H,12/15/2013,N,D,692.0,24.0,EI,360,G02323,,1891602.883074,-199692.974299,28.11717477,-91.66943467,3242,E,5631,N,EI,360,G02323,,R,6017.0,G02323,EI,  360,C001ST02,R,6017.0,G02323,EI,  360,C001ST02,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,12/4/2013 4:26:51 PM,12/18/2013 12:28:22 PM
-13876,177244085202,78,3174.0,DA010,0,2,217,Revised Sidetrack,146,H,9/15/2013,N,D,576.0,26.0,MP,299,G01316,,2824587.001881,225254.004222,29.26050104,-88.74726961,403,E,8576,N,MP,298,G01315,,S,3948.0,G01316,MP,  299,DA-10,S,3948.0,G01315,MP,  298,DA-10,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/18/2013 9:35:14 AM,11/18/2013 9:37:45 AM
-13824,177104119201,78,2145.0,C014,0,1,307,Sidetrack,131,H,12/15/2013,N,D,704.0,24.0,EI,360,G02323,,1891593.873429,-199697.985684,28.11716092,-91.66946256,3251,E,5636,N,EI,360,G02323,,R,6017.0,G02323,EI,  360,C014ST01,R,6017.0,G02323,EI,  360,C014ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/26/2013 7:59:00 AM,12/12/2013 10:26:48 AM
