ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
2015010023,930028,1/2/2015,"Foster Trucking, Inc.","Wells Ranch, 3314-225-228, Tank Battery",,GILL,COLORADO,80624,40.47,-104.51,213112,1.00,0.00,0.00,1020547,Employee sustained burns during line tie-in operations at an oil and gas site.,1520,"Heat (thermal) burns, unspecified",9999,Nonclassifiable,9999,Nonclassifiable,9999,Nonclassifiable,,,1
2015010024,930006,1/2/2015,Trinidad Drilling,38734 S CR 200,,WOODWARD,OKLAHOMA,73801,36.42,-99.43,213111,1.00,0.00,0.00,,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection. ,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,620,"Struck by object or equipment, unspecified",4813,"Tires, except bike",,,1
2015010054,929902,1/4/2015,Lewis Casing Crews Inc.,4 miles west of ,Hwy 385 off Hwy. 1233,CRANE,TEXAS,79731,31.39,-102.35,213112,1.00,0.00,0.00,,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,1839,"Fractures and other injuries, n.e.c.",899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",,,1
2015010056,930502,1/4/2015,Lion Oil Company,1000 McHenry St,,EL DORADO,ARKANSAS,71730,33.20,-92.67,324110,1.00,0.00,0.00,1017067,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,150,"Burns and corrosions, unspecified ",899,"Multiple body parts, n.e.c.",50,"Exposure to harmful substances or environments, unspecified",9999,Nonclassifiable,,,1
2015010074,930367,1/5/2015,Pump Co Energy Services,300 CR 302,,BARNHART,TEXAS,76930,31.12,-101.17,213112,0.00,1.00,0.00,,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,3797,Pumps,7352,Wrenches-power not determined,1
2015010093,930946,1/5/2015,Precision Drilling Corp.,Thresher 55-1-12,Well 6H,MENTONE,TEXAS,79754,31.78,-103.62,213111,0.00,1.00,0.00,,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",640,"Caught in or compressed by equipment or objects, unspecified",40,"Parts and materials, unspecified",,,1
2015010118,930889,1/6/2015,"Webco Industries, Inc., Oil City Tube Division",363 Seneca Street,,OIL CITY,PENNSYLVANIA,16301,41.43,-79.70,331221,0.00,1.00,0.00,,Employee suffered an amputation of the tip of his left-hand index finger in a pinch point while conducting material handling operations that involved rolled steel on a support stand.,1311,Amputations,4422,Fingertip(s),640,"Caught in or compressed by equipment or objects, unspecified",9999,Nonclassifiable,,,1
2015010150,930353,1/6/2015,"4 Swift Service, LLC",1405 FM 1556,,CARRIZO SPRINGS,TEXAS,78834,28.50,-99.82,213112,1.00,0.00,0.00,1016381,"Two employees of 4 Swift Service passed out in a tank that was being cleaned.  Employees proceeded into a tank which had been closed, but was opened by an employee.  Employees went inside to clean, but were supposed to clean the outside of the tank only. Both employees were transported to the hospital, but only one employee was admitted.",5110,"General symptoms, unspecified",6,BODY SYSTEMS,9999,Nonclassifiable,6176,Oil storage tank interiors,,,1
2015010157,932458,1/6/2015,US Boiler Company Incorporated,2920 Old Tree Drive,,LANCASTER,PENNSYLVANIA,17603,40.05,-76.38,332410,0.00,1.00,0.00,1020024,The employee was installing block on a V8 line. The employee had been using a lifting chain and shipping nipple to place a V13 block on a shipping skid. The employee's hand got caught between the lifting chain and shipping nipple when the weight shifted and the chain slipped. The tip of the employee's left ring finger was amputated between the end and the first knuckle and the left middle finger was fractured.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,4223,"Chains, n.e.c.",439,"Hoisting accessories, n.e.c.",1
2015010253,931246,1/8/2015,Ensign Energy Services,Off 1804;6 mi. east of Williston to County Rd. 11; then go south until deadend to T; turn west 1 mi.,Rig #162,WILLISTON,NORTH DAKOTA,58801,48.16,-103.64,213111,1.00,0.00,0.00,1019145,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder.  The SRL stopped and so did the anchor.  Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead.  He did not lose consciousness.",181,Cuts and abrasions or bruises,899,"Multiple body parts, n.e.c.",45,Fall or jump curtailed by personal fall arrest system ,345,Derricks and related equipment,,,1
